"CPP","Year","Indicator","Type","value"
"Clackmannanshire","2008/09","Healthy Birthweight","Raw",87.5420875420875
"Dumfries and Galloway","2008/09","Healthy Birthweight","Raw",89.4736842105263
"East Ayrshire","2008/09","Healthy Birthweight","Raw",88.0686055182699
"East Lothian","2008/09","Healthy Birthweight","Raw",89.8063200815494
"East Renfrewshire","2008/09","Healthy Birthweight","Raw",89.2993630573248
"Eilean Siar","2008/09","Healthy Birthweight","Raw",85.2320675105485
"Falkirk","2008/09","Healthy Birthweight","Raw",89.3557422969188
"Highland","2008/09","Healthy Birthweight","Raw",89.640768588137
"Inverclyde","2008/09","Healthy Birthweight","Raw",88.9705882352941
"Midlothian","2008/09","Healthy Birthweight","Raw",86.3145258103241
"Moray","2008/09","Healthy Birthweight","Raw",91.4012738853503
"North Ayrshire","2008/09","Healthy Birthweight","Raw",88.8335704125178
"Orkney Islands","2008/09","Healthy Birthweight","Raw",90.7692307692308
"Scottish Borders","2008/09","Healthy Birthweight","Raw",89.7196261682243
"Shetland Islands","2008/09","Healthy Birthweight","Raw",88.9795918367347
"South Ayrshire","2008/09","Healthy Birthweight","Raw",89.7584541062802
"South Lanarkshire","2008/09","Healthy Birthweight","Raw",89.0740740740741
"Stirling","2008/09","Healthy Birthweight","Raw",88.625
"Aberdeen City","2008/09","Healthy Birthweight","Raw",89.6039603960396
"Aberdeenshire","2008/09","Healthy Birthweight","Raw",89.1230711328566
"Argyll and Bute","2008/09","Healthy Birthweight","Raw",89.1745602165088
"Edinburgh, City of","2008/09","Healthy Birthweight","Raw",87.7668782458165
"Renfrewshire","2008/09","Healthy Birthweight","Raw",90.1453957996769
"West Dunbartonshire","2008/09","Healthy Birthweight","Raw",89.4634146341463
"West Lothian","2008/09","Healthy Birthweight","Raw",87.437641723356
"Angus","2008/09","Healthy Birthweight","Raw",90.5511811023622
"Dundee City","2008/09","Healthy Birthweight","Raw",89.5930232558139
"East Dunbartonshire","2008/09","Healthy Birthweight","Raw",88.1606765327696
"Fife","2008/09","Healthy Birthweight","Raw",86.7254469752633
"Perth and Kinross","2008/09","Healthy Birthweight","Raw",88.7121212121212
