"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"Aberdeen City","Aberdeen City","1st Most Vulnerable","Faster",20.51,30.91,"Faster",2046,504,"Faster",94.11,94.8,"Slower",694,777,"Slower",33333,33766,"Faster",16.11,25.61,"Slower",67.6,81,"Faster",4.34,5.01,"Faster","Heathryfold and Middlefield"
"Aberdeenshire","Aberdeenshire","1st Most Vulnerable","Faster",25.87,25.98,"Faster",1986,1518,"Slower",98.93,93.76,"Faster",863,644,"Faster",25676,27920,"Slower",16.44,25.09,"Faster",91.39,89.99,"Slower",4.55,4.6,"Slower","Fraserburgh Harbour and Broadsea"
"Angus","Angus","1st Most Vulnerable","Faster",20.06,28,"Slower",1535,862,"Slower",95.96,92.79,"Faster",628,692,"Slower",27909,20096,"Faster",18.68,28.81,"Faster",74.5,94.6,"Faster",4.96,5.05,"Faster","Arbroath Harbour"
"Argyll and Bute","Argyll and Bute","1st Most Vulnerable","Slower",16.08,21.86,"Faster",1166,597,"Slower",98.51,107.27,"Slower",594,556,"Slower",27147,26791,"Slower",18.72,26.78,"Faster",86.39,87.72,"Slower",5.43,5.47,"Faster","Dunoon"
"Clackmannanshire","Clackmannanshire","1st Most Vulnerable","Slower",33.89,44.44,"Slower",2407,1644,"Slower",102.12,108.88,"Slower",675,787,"Slower",25327,27927,"Faster",31.99,40.15,"Faster",69.02,68.94,"Slower",4.46,4.69,"Faster","Alloa South and East"
"Dumfries and Galloway","Dumfries and Galloway","1st Most Vulnerable","Slower",23.95,35.77,"Slower",1386,797,"Faster",101.95,109.2,"Slower",616,645,"Slower",23043,32179,"Slower",22.45,31.48,"Faster",76.66,75.07,"Slower",4.91,5.02,"Faster","Lochside and Lincluden"
"Dundee City","Dundee City","1st Most Vulnerable","Faster",19.94,26.78,"Slower",982,501,"Faster",103.81,107.9,"Slower",738,700,"Faster",28764,37149,"Slower",24.43,34.59,"Slower",59.6,87.1,"Faster",4.73,4.8,"Faster","Douglas East"
"East Ayrshire","East Ayrshire","1st Most Vulnerable","Faster",22.78,33.77,"Slower",2213,879,"Faster",89.59,72.63,"Faster",1007,676,"Faster",36315,36121,"Faster",27.14,33.11,"Faster",69.77,99.24,"Faster",4.85,4.7,"Slower","Altonhill South, Longpark and Hillhead"
"East Dunbartonshire","East Dunbartonshire","1st Most Vulnerable","Faster",19.15,27.32,"Slower",1193,604,"Faster",109.73,105.96,"Faster",682,638,"Slower",36678,32875,"Faster",24.4,31.58,"Faster",83.1,93.5,"Faster",5.21,5.57,"Faster","Hillhead"
"East Lothian","East Lothian","1st Most Vulnerable","Faster",26.73,22.71,"Faster",829,589,"Faster",100.19,92.53,"Faster",577,443,"Faster",27612,23778,"Faster",17.2,22.41,"Faster",82.9,84.6,"Slower",4.96,5.19,"Faster","Musselburgh Levenhall"
"East Renfrewshire","East Renfrewshire","1st Most Vulnerable","Faster",19.9,21.52,"Faster",803,390,"Faster",104.96,94.92,"Faster",626,549,"Slower",25494,26776,"Slower",19.17,22.05,"Faster",66.75,92.31,"Faster",5.38,5.47,"Faster","Auchenback"
"Edinburgh, City of","Edinburgh, City of","1st Most Vulnerable","Faster",27.87,27.92,"Faster",3485,1353,"Faster",102.61,50.73,"Faster",1591,1546,"Slower",34516,36620,"Faster",25.93,25.68,"Faster",59.56,94.09,"Faster",4.42,5.24,"Faster","Craigmillar"
"Eilean Siar","Eilean Siar","1st Most Vulnerable","Slower",12.99,18.04,"Faster",1345,645,"Slower",98.87,101.42,"Faster",577,528,"Slower",28943,40661,"Slower",12.68,17.97,"Slower",90.2,92.7,"Slower",5.76,5.6,"Slower","Stornoway West"
"Falkirk","Falkirk","1st Most Vulnerable","Faster",27.37,34.53,"Faster",1617,867,"Faster",93.74,88.65,"Faster",780,792,"Slower",29889,33571,"Faster",25.91,32.59,"Faster",76,77.1,"Slower",4.95,4.89,"Slower","Falkirk - Bainsford and Langlees"
"Fife","Fife","1st Most Vulnerable","Slower",34.51,38.34,"Faster",1541,987,"Slower",103.7,110.28,"Slower",690,914,"Slower",34234,37236,"Faster",30.87,44.1,"Slower",63.65,81.12,"Faster",4.52,4.47,"Slower","Methil West"
"Glasgow City","Glasgow City","1st Most Vulnerable","Faster",24.97,35.98,"Slower",2327,876,"Faster",107.33,109.85,"Slower",985,900,"Slower",45806,43440,"Faster",38.48,40.21,"Faster",76.52,78.91,"Slower",4.61,4.9,"Faster","North Barlanark and Easterhouse South"
