CPP,Indicator,Type,Year,value,IndicatorFullName,FG,LineType,Improvement_Rate,High is Positive?
Aberdeen City,Healthy Birthweight,Raw data,2008/09,90.0810964353805,Healthy Birthweight,1,Aberdeen City Raw data,1.0690975913680845,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2008/09,89.3232036334379,Healthy Birthweight,1,Aberdeenshire Raw data,1.220015684214748,Yes
Angus,Healthy Birthweight,Raw data,2008/09,90.36065816320688,Healthy Birthweight,2,Angus Raw data,-0.8190269625031665,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2008/09,89.04680351698164,Healthy Birthweight,2,Argyll and Bute Raw data,1.2426003431528887,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2008/09,88.41656667716329,Healthy Birthweight,3,Clackmannanshire Raw data,3.112763570936461,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2008/09,89.2843217457703,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.7542762387429134,Yes
Dundee City,Healthy Birthweight,Raw data,2008/09,90.254260246764,Healthy Birthweight,4,Dundee City Raw data,-0.33961353044814624,Yes
East Ayrshire,Healthy Birthweight,Raw data,2008/09,88.87272268041251,Healthy Birthweight,4,East Ayrshire Raw data,1.8135551852185072,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2008/09,88.84616966409705,Healthy Birthweight,1,East Dunbartonshire Raw data,1.1907873644053213,Yes
East Lothian,Healthy Birthweight,Raw data,2008/09,89.93984217799414,Healthy Birthweight,2,East Lothian Raw data,-0.8264458427748811,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.43966512707846,Healthy Birthweight,1,East Renfrewshire Raw data,0.8710541699842977,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2008/09,89.34840557321434,Healthy Birthweight,1,"Edinburgh, City of Raw data",1.6725776214730814,Yes
Eilean Siar,Healthy Birthweight,Raw data,2008/09,86.71626871049779,Healthy Birthweight,4,Eilean Siar Raw data,2.0407408854287157,Yes
Falkirk,Healthy Birthweight,Raw data,2008/09,88.80571171990806,Healthy Birthweight,3,Falkirk Raw data,1.6434109671430663,Yes
Fife,Healthy Birthweight,Raw data,2008/09,88.33454371867636,Healthy Birthweight,3,Fife Raw data,1.923488508739113,Yes
Glasgow City,Healthy Birthweight,Raw data,2008/09,89.38650604160972,Healthy Birthweight,4,Glasgow City Raw data,1.1906829498731675,Yes
Highland,Healthy Birthweight,Raw data,2008/09,90.1386686854886,Healthy Birthweight,2,Highland Raw data,-0.20599195977978324,Yes
Inverclyde,Healthy Birthweight,Raw data,2008/09,89.75731172883847,Healthy Birthweight,4,Inverclyde Raw data,1.397335503249364,Yes
Midlothian,Healthy Birthweight,Raw data,2008/09,88.97451207521783,Healthy Birthweight,2,Midlothian Raw data,1.3155169228428854,Yes
Moray,Healthy Birthweight,Raw data,2008/09,90.9940767170316,Healthy Birthweight,2,Moray Raw data,-0.25741798179094166,Yes
North Ayrshire,Healthy Birthweight,Raw data,2008/09,88.20592449625178,Healthy Birthweight,4,North Ayrshire Raw data,2.347753393821317,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2008/09,88.57535179632718,Healthy Birthweight,4,North Lanarkshire Raw data,2.0353340088372196,Yes
Orkney Islands,Healthy Birthweight,Raw data,2008/09,89.6071955967244,Healthy Birthweight,1,Orkney Islands Raw data,-3.253346505511656,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2008/09,89.26439836065532,Healthy Birthweight,1,Perth and Kinross Raw data,0.7370160908802825,Yes
Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.30717460376975,Healthy Birthweight,3,Renfrewshire Raw data,2.1036811677994427,Yes
Scotland,Healthy Birthweight,Raw data,2008/09,89.16041057474314,Healthy Birthweight,NA,Scotland Raw data,1.2096270275069543,Yes
Scottish Borders,Healthy Birthweight,Raw data,2008/09,88.87655917067683,Healthy Birthweight,2,Scottish Borders Raw data,1.1347034902519981,Yes
Shetland Islands,Healthy Birthweight,Raw data,2008/09,90.2984903429595,Healthy Birthweight,1,Shetland Islands Raw data,-4.224216095571509,Yes
South Ayrshire,Healthy Birthweight,Raw data,2008/09,89.24964377324409,Healthy Birthweight,3,South Ayrshire Raw data,1.146472262725906,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2008/09,89.11433047980738,Healthy Birthweight,3,South Lanarkshire Raw data,0.720437715015465,Yes
Stirling,Healthy Birthweight,Raw data,2008/09,88.46964638747677,Healthy Birthweight,2,Stirling Raw data,2.7056782206630547,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2008/09,89.06124197712546,Healthy Birthweight,4,West Dunbartonshire Raw data,2.442008932359929,Yes
West Lothian,Healthy Birthweight,Raw data,2008/09,88.57009648085875,Healthy Birthweight,3,West Lothian Raw data,0.0740156691972027,Yes
Aberdeen City,Healthy Birthweight,Raw data,2009/10,90.01192602044999,Healthy Birthweight,1,Aberdeen City Raw data,1.0690975913680845,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2009/10,89.49593392304723,Healthy Birthweight,1,Aberdeenshire Raw data,1.220015684214748,Yes
Angus,Healthy Birthweight,Raw data,2009/10,90.11293620788857,Healthy Birthweight,2,Angus Raw data,-0.8190269625031665,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2009/10,89.86548708000713,Healthy Birthweight,2,Argyll and Bute Raw data,1.2426003431528887,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2009/10,88.24723649245611,Healthy Birthweight,3,Clackmannanshire Raw data,3.112763570936461,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2009/10,89.38649404865487,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.7542762387429134,Yes
Dundee City,Healthy Birthweight,Raw data,2009/10,90.05440421470956,Healthy Birthweight,4,Dundee City Raw data,-0.33961353044814624,Yes
East Ayrshire,Healthy Birthweight,Raw data,2009/10,89.0299064165265,Healthy Birthweight,4,East Ayrshire Raw data,1.8135551852185072,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2009/10,89.0020138878021,Healthy Birthweight,1,East Dunbartonshire Raw data,1.1907873644053213,Yes
East Lothian,Healthy Birthweight,Raw data,2009/10,89.37354962017197,Healthy Birthweight,2,East Lothian Raw data,-0.8264458427748811,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2009/10,88.5491857982323,Healthy Birthweight,1,East Renfrewshire Raw data,0.8710541699842977,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2009/10,89.43562936667485,Healthy Birthweight,1,"Edinburgh, City of Raw data",1.6725776214730814,Yes
Eilean Siar,Healthy Birthweight,Raw data,2009/10,86.27222723562915,Healthy Birthweight,4,Eilean Siar Raw data,2.0407408854287157,Yes
Falkirk,Healthy Birthweight,Raw data,2009/10,89.0450657185708,Healthy Birthweight,3,Falkirk Raw data,1.6434109671430663,Yes
Fife,Healthy Birthweight,Raw data,2009/10,88.71063558008723,Healthy Birthweight,3,Fife Raw data,1.923488508739113,Yes
Glasgow City,Healthy Birthweight,Raw data,2009/10,89.28043047320325,Healthy Birthweight,4,Glasgow City Raw data,1.1906829498731675,Yes
Highland,Healthy Birthweight,Raw data,2009/10,89.88499923961042,Healthy Birthweight,2,Highland Raw data,-0.20599195977978324,Yes
Inverclyde,Healthy Birthweight,Raw data,2009/10,89.75438600075563,Healthy Birthweight,4,Inverclyde Raw data,1.397335503249364,Yes
Midlothian,Healthy Birthweight,Raw data,2009/10,88.67989272371672,Healthy Birthweight,2,Midlothian Raw data,1.3155169228428854,Yes
Moray,Healthy Birthweight,Raw data,2009/10,90.91190818586549,Healthy Birthweight,2,Moray Raw data,-0.25741798179094166,Yes
North Ayrshire,Healthy Birthweight,Raw data,2009/10,88.82219758326333,Healthy Birthweight,4,North Ayrshire Raw data,2.347753393821317,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01558514613468,Healthy Birthweight,4,North Lanarkshire Raw data,2.0353340088372196,Yes
Orkney Islands,Healthy Birthweight,Raw data,2009/10,89.25936950976786,Healthy Birthweight,1,Orkney Islands Raw data,-3.253346505511656,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2009/10,88.98923353818499,Healthy Birthweight,1,Perth and Kinross Raw data,0.7370160908802825,Yes
Renfrewshire,Healthy Birthweight,Raw data,2009/10,89.04229359629763,Healthy Birthweight,3,Renfrewshire Raw data,2.1036811677994427,Yes
Scotland,Healthy Birthweight,Raw data,2009/10,89.29640292082894,Healthy Birthweight,NA,Scotland Raw data,1.2096270275069543,Yes
Scottish Borders,Healthy Birthweight,Raw data,2009/10,89.0966319034028,Healthy Birthweight,2,Scottish Borders Raw data,1.1347034902519981,Yes
Shetland Islands,Healthy Birthweight,Raw data,2009/10,90.09942438513868,Healthy Birthweight,1,Shetland Islands Raw data,-4.224216095571509,Yes
