year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Positive Destinations,Emergency Admissions,Depopulation,Early Mortality
2008,Aberdeen City,0.342550123,,,,0.36592179,0.319093388,0.004542701,
2008,Aberdeenshire,0.248862192,,,,0.163205745,0.164600248,-0.187382857,
2008,Angus,0.28776569,,,,0.19177745,0.121396698,-0.074781705,
2008,Argyll and Bute,0.179832964,,,,-0.018959205,0.189668375,-0.008685346,
2008,Clackmannanshire,0.210919512,,,,0.226753592,0.122813336,-0.07856991,
2008,Dumfries and Galloway,0.181699641,,,,0.20187025,0.116425203,-0.040261306,
2008,Dundee City,0.243275065,,,,0.251968729,0.225574654,-0.007509893,
2008,East Ayrshire,0.235563238,,,,0.209406503,0.213260591,-0.055088561,
2008,East Dunbartonshire,0.339656007,,,,0.269703358,0.339847871,0.00334639,
2008,East Lothian,0.189343902,,,,0.106711733,0.149744629,-0.019894626,
2008,East Renfrewshire,0.367631338,,,,0.285708681,0.324182571,-0.011843229,
2008,"Edinburgh, City of",0.413579806,,,,0.382507892,0.343274537,0.128071797,
2008,Eilean Siar,0.004386249,,,,0.047917453,-0.026710119,-0.022007744,
2008,Falkirk,0.223530893,,,,0.187193646,0.172163469,-0.118901783,
2008,Fife,0.327042336,,,,0.217261825,0.151497808,-0.182121664,
2008,Glasgow City,0.229348297,,,,0.19127447,0.194204021,-0.040894078,
2008,Highland,0.203127231,,,,0.186265163,0.13068723,-0.086963669,
2008,Inverclyde,0.320228326,,,,0.280727301,0.295366213,-0.303776179,
2008,Midlothian,0.23333887,,,,0.201111924,0.211181479,-0.115092925,
2008,Moray,0.125460682,,,,0.021267967,0.037370127,-0.016065872,
2008,North Ayrshire,0.286900494,,,,0.25295553,0.206688513,-0.141832497,
2008,North Lanarkshire,0.184823031,,,,0.150695889,0.13303395,-0.025655365,
2008,Orkney Islands,0.086907346,,,,0.058487042,-0.065105531,-0.09212946,
2008,Perth and Kinross,0.236801399,,,,0.109493324,0.167289602,-0.049650945,
2008,Renfrewshire,0.312488178,,,,0.317305562,0.248746433,-0.064337426,
2008,Scottish Borders,0.192042632,,,,0.139920548,0.063661851,-0.102541034,
2008,Shetland Islands,0.076253393,,,,-0.034518858,-0.012721471,-0.072483094,
2008,South Ayrshire,0.220292716,,,,0.220331268,0.235471962,0.005681917,
2008,South Lanarkshire,0.238598057,,,,0.215591778,0.12078763,-0.066792677,
2008,Stirling,0.304844654,,,,0.303469453,0.290600738,-0.091500637,
2008,West Dunbartonshire,0.213072262,,,,0.136464641,0.11095664,0.007805268,
2008,West Lothian,0.19952291,,,,0.211395151,0.181866263,-0.053159728,
2009,Aberdeen City,0.338178663,,,,0.299558815,0.309048754,0.050519612,
2009,Aberdeenshire,0.24324544,,,,0.189776397,0.220736945,-0.163241359,
2009,Angus,0.292765172,,,,0.196202526,0.071796902,-0.071748113,
2009,Argyll and Bute,0.172817447,,,,0.134879529,0.157904802,-0.000658553,
2009,Clackmannanshire,0.207957882,,,,0.162128067,0.012093846,-0.07856991,
2009,Dumfries and Galloway,0.182371041,,,,0.082950011,0.09346331,-0.03261503,
2009,Dundee City,0.244781428,,,,0.240920419,0.223816637,0.005254409,
2009,East Ayrshire,0.215930619,,,,0.221969295,0.236808381,-0.049107132,
2009,East Dunbartonshire,0.339307309,,,,0.264640362,0.346843915,0.021341195,
2009,East Lothian,0.179691945,,,,0.124209231,0.167663306,0.005729584,
2009,East Renfrewshire,0.355746721,,,,0.199468409,0.284085804,-0.035949247,
2009,"Edinburgh, City of",0.408348542,,,,0.389249006,0.324162579,0.127553223,
