InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High.is.Positive.,Change,OverallZScore,CPPChangeScore,TypeChangeScore
S02001346,Monifieth West,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.72414,Average Highest Attainment,Yes,-0.06817495258352457,-1.2578972988597295,-1.2044334901757139,-0.7102091433137129
S02001347,Monifieth East,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.74336,Average Highest Attainment,Yes,-0.07426612663594301,-1.3458307844612947,-1.3200301581468414,-0.8069119718108673
S02001454,Craigie and  Craigiebank,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,5.46809,Average Highest Attainment,Yes,-0.035642351179251075,-0.7882497378893891,0.3534378265498379,-0.193725039085127
S02001456,West Ferry,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.89063,Average Highest Attainment,Yes,0.10166923320960475,1.1940095318143857,2.117012702684232,1.986219004798498
S02001458,Broughty Ferry West,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.74194,Average Highest Attainment,Yes,-0.07460965550737486,-1.3507900403961632,-0.1470425896483134,-0.812365799472335
S02001459,Broughty Ferry East,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.76923,Average Highest Attainment,Yes,-0.0895104112307259,-1.5659005228049687,-0.3384219153336009,-1.0489286053933207
S02001460,Barnhill,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.92308,Average Highest Attainment,Yes,-0.06485459761595957,-1.2099639475517763,-0.02175254154999148,-0.6574955425833862
S02001469,Law,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,4.75581,Average Highest Attainment,Yes,-0.12239843164684794,-2.0406789883089758,-0.7608224490527004,-1.5710553038823303
S02001470,Balgay,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,5.63415,Average Highest Attainment,Yes,-0.06709100929203227,-1.242249262701986,-0.050476115472538864,-0.6930005754225682
S02001574,North Giffnock and North Thornliebank,East Renfrewshire,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,6.11,Average Highest Attainment,Yes,-0.02153659901128835,-0.5846160960846009,-1.0182665538166313,0.030216375325822765
