Strategic.Area,InterZone,SAChangeScore,Indicator
Cowdenbeath,S02001769,0.3364487717886674,Attainment
Cowdenbeath,S02001770,-1.4733819240826327,Attainment
Cowdenbeath,S02001771,-0.32575732508362454,Attainment
Cowdenbeath,S02001772,0.7021100503613467,Attainment
Cowdenbeath,S02001773,-1.3995629576663524,Attainment
Cowdenbeath,S02001774,0.19409314611955095,Attainment
Cowdenbeath,S02001775,0.5141950978478146,Attainment
Cowdenbeath,S02001776,1.2462395640524728,Attainment
Cowdenbeath,S02001777,1.1709310063868685,Attainment
Cowdenbeath,S02001778,-0.9653154297241112,Attainment
Cowdenbeath,S02001769,-0.45059149000961957,Child Poverty
Cowdenbeath,S02001770,-1.5607944047043563,Child Poverty
Cowdenbeath,S02001771,0.17516134842943867,Child Poverty
Cowdenbeath,S02001772,-0.242864572577985,Child Poverty
Cowdenbeath,S02001773,1.3787715234996376,Child Poverty
Cowdenbeath,S02001774,-1.6202914126560617,Child Poverty
Cowdenbeath,S02001775,0.938320919290357,Child Poverty
Cowdenbeath,S02001776,0.12630632848295636,Child Poverty
Cowdenbeath,S02001777,0.4551850156255575,Child Poverty
Cowdenbeath,S02001778,0.8007967446200748,Child Poverty
Cowdenbeath,S02001769,-1.1908246732026142,Crime Rate
Cowdenbeath,S02001770,-0.12709619836588681,Crime Rate
Cowdenbeath,S02001771,-1.2700604203126344,Crime Rate
Cowdenbeath,S02001772,0.40957335758649394,Crime Rate
Cowdenbeath,S02001773,2.038864348272724,Crime Rate
Cowdenbeath,S02001774,0.4954379313859407,Crime Rate
Cowdenbeath,S02001775,-0.6659040500869193,Crime Rate
Cowdenbeath,S02001776,0.7267832349860067,Crime Rate
Cowdenbeath,S02001777,0.1941431161859884,Crime Rate
Cowdenbeath,S02001778,-0.6109166464490986,Crime Rate
Cowdenbeath,S02001769,-0.5491209368945571,Depopulation
Cowdenbeath,S02001770,-0.6490910526540539,Depopulation
Cowdenbeath,S02001771,1.4959064254039294,Depopulation
Cowdenbeath,S02001772,-1.4518926914583343,Depopulation
Cowdenbeath,S02001773,1.3236990787089722,Depopulation
Cowdenbeath,S02001774,0.24121122698984768,Depopulation
Cowdenbeath,S02001775,-1.168737127397416,Depopulation
Cowdenbeath,S02001776,0.8649398745585367,Depopulation
Cowdenbeath,S02001777,-0.07869256712336473,Depopulation
Cowdenbeath,S02001778,-0.028222230133559706,Depopulation
Cowdenbeath,S02001769,-1.146417491624006,Early Mortality
Cowdenbeath,S02001770,-1.472091153986499,Early Mortality
Cowdenbeath,S02001771,0.8527492313023024,Early Mortality
Cowdenbeath,S02001772,0.11448110696083759,Early Mortality
Cowdenbeath,S02001773,-0.04176038350641101,Early Mortality
Cowdenbeath,S02001774,-0.05930505121111853,Early Mortality
Cowdenbeath,S02001775,0.5142198576376387,Early Mortality
Cowdenbeath,S02001776,1.1058923520027617,Early Mortality
Cowdenbeath,S02001777,1.346147763838689,Early Mortality
Cowdenbeath,S02001778,-1.2139162314141945,Early Mortality
Cowdenbeath,S02001769,-0.5795468248720719,Emergency Admissions
Cowdenbeath,S02001770,-0.19143916769307345,Emergency Admissions
Cowdenbeath,S02001771,-1.7885063117046913,Emergency Admissions
Cowdenbeath,S02001772,1.077664855878518,Emergency Admissions
Cowdenbeath,S02001773,1.206762681420178,Emergency Admissions
Cowdenbeath,S02001774,1.2360911877328222,Emergency Admissions
Cowdenbeath,S02001775,-0.9497344895852391,Emergency Admissions
Cowdenbeath,S02001776,0.10167842396585255,Emergency Admissions
Cowdenbeath,S02001777,0.3703914482898487,Emergency Admissions
Cowdenbeath,S02001778,-0.4833618034321432,Emergency Admissions
Cowdenbeath,S02001769,-1.1141651493972615,Out of Work Benefits
Cowdenbeath,S02001770,0.1875622269749805,Out of Work Benefits
Cowdenbeath,S02001771,-0.17888127865481365,Out of Work Benefits
Cowdenbeath,S02001772,-2.0496318123033834,Out of Work Benefits
Cowdenbeath,S02001773,0.9037449611150619,Out of Work Benefits
Cowdenbeath,S02001774,-0.08857062277012688,Out of Work Benefits
Cowdenbeath,S02001775,1.0986251548753925,Out of Work Benefits
Cowdenbeath,S02001776,0.7371386688284806,Out of Work Benefits
Cowdenbeath,S02001777,-0.3757722620854312,Out of Work Benefits
Cowdenbeath,S02001778,0.8799501134171019,Out of Work Benefits
Cowdenbeath,S02001769,1.9552088994371678e-4,Positive Destinations
Cowdenbeath,S02001770,1.515108662855732,Positive Destinations
Cowdenbeath,S02001771,0.09846651921419927,Positive Destinations
Cowdenbeath,S02001772,-1.1313915501471905,Positive Destinations
Cowdenbeath,S02001773,-0.6904330304038069,Positive Destinations
Cowdenbeath,S02001774,-1.5516503224871838,Positive Destinations
Cowdenbeath,S02001775,1.3038168972174355,Positive Destinations
Cowdenbeath,S02001776,-0.2432600059941839,Positive Destinations
Cowdenbeath,S02001777,-0.16368519931378223,Positive Destinations
Cowdenbeath,S02001778,0.862832508168837,Positive Destinations
Dunfermline,S02001744,1.5936694935860125,Attainment
Dunfermline,S02001745,-0.3537346376773014,Attainment
Dunfermline,S02001746,-0.997257508082078,Attainment
Dunfermline,S02001747,-0.49845625963670237,Attainment
Dunfermline,S02001748,-0.6512018727730763,Attainment
Dunfermline,S02001749,-0.22845129517050122,Attainment
Dunfermline,S02001750,-0.07883142521693731,Attainment
Dunfermline,S02001751,0.4153741897318649,Attainment
Dunfermline,S02001752,-1.4857633844102056,Attainment
Dunfermline,S02001753,0.943661275715093,Attainment
Dunfermline,S02001754,-1.1940309294137819,Attainment
Dunfermline,S02001755,0.21196320455670623,Attainment
Dunfermline,S02001756,2.182314211008649,Attainment
Dunfermline,S02001757,0.4244246698374056,Attainment
Dunfermline,S02001758,0.5235952462526614,Attainment
Dunfermline,S02001768,-0.8072749783078089,Attainment
Dunfermline,S02001744,-2.1495985639601276,Child Poverty
Dunfermline,S02001745,0.36796388282086756,Child Poverty
Dunfermline,S02001746,-1.0943971214799872,Child Poverty
Dunfermline,S02001747,0.6283389807514861,Child Poverty
Dunfermline,S02001748,0.3969004449775021,Child Poverty
Dunfermline,S02001749,1.3633848236788135,Child Poverty
Dunfermline,S02001750,-0.21719782546929078,Child Poverty
Dunfermline,S02001751,-0.418477548359135,Child Poverty
Dunfermline,S02001752,-1.507149703657041,Child Poverty
Dunfermline,S02001753,0.5626276122369053,Child Poverty
Dunfermline,S02001754,-1.095046688368659,Child Poverty
Dunfermline,S02001755,0.7221803236316546,Child Poverty
Dunfermline,S02001756,0.8967766883597035,Child Poverty
Dunfermline,S02001757,0.9932585605408704,Child Poverty
Dunfermline,S02001758,-0.009109623482350351,Child Poverty
Dunfermline,S02001768,0.5595457577787878,Child Poverty
Dunfermline,S02001744,0.2525369363362287,Crime Rate
Dunfermline,S02001745,0.030398496160162013,Crime Rate
Dunfermline,S02001746,0.38741707722363083,Crime Rate
Dunfermline,S02001747,-0.5282552314829801,Crime Rate
Dunfermline,S02001748,-1.4001155906228342,Crime Rate
Dunfermline,S02001749,0.9854395954407823,Crime Rate
Dunfermline,S02001750,-0.7796981062644194,Crime Rate
Dunfermline,S02001751,-2.620677237312829,Crime Rate
Dunfermline,S02001752,-0.2738344863322422,Crime Rate
Dunfermline,S02001753,0.4670421353210131,Crime Rate
Dunfermline,S02001754,0.6100283911102147,Crime Rate
Dunfermline,S02001755,0.4663857695408119,Crime Rate
Dunfermline,S02001756,1.3796644830400564,Crime Rate
Dunfermline,S02001757,1.1199141326800572,Crime Rate
Dunfermline,S02001758,-0.21211224559414943,Crime Rate
Dunfermline,S02001768,0.11586588075649756,Crime Rate
Dunfermline,S02001744,-0.4548578012443374,Depopulation
Dunfermline,S02001745,-0.15874892839103844,Depopulation
Dunfermline,S02001746,-0.1619451892281538,Depopulation
Dunfermline,S02001747,-0.4791381297401389,Depopulation
Dunfermline,S02001748,-0.3316083119891807,Depopulation
Dunfermline,S02001749,-0.8260337495621874,Depopulation
Dunfermline,S02001750,-0.5474014327821146,Depopulation
Dunfermline,S02001751,2.632415198844806,Depopulation
Dunfermline,S02001752,-0.39224203796435936,Depopulation
Dunfermline,S02001753,-0.014419932137896956,Depopulation
Dunfermline,S02001754,-0.6182995158062066,Depopulation
Dunfermline,S02001755,0.5183628586477214,Depopulation
Dunfermline,S02001756,2.1380794853609077,Depopulation
Dunfermline,S02001757,-0.7036105416509689,Depopulation
Dunfermline,S02001758,-0.7686297626788423,Depopulation
Dunfermline,S02001768,0.1680777903219909,Depopulation
Dunfermline,S02001744,0.611812053860596,Early Mortality
Dunfermline,S02001745,-1.78547716610582,Early Mortality
Dunfermline,S02001746,0.6998564326258863,Early Mortality
Dunfermline,S02001747,-0.23827679740354818,Early Mortality
Dunfermline,S02001748,-0.6374250085600954,Early Mortality
Dunfermline,S02001749,0.7563957956278201,Early Mortality
Dunfermline,S02001750,0.8531563258143625,Early Mortality
Dunfermline,S02001751,1.3975117863073778,Early Mortality
Dunfermline,S02001752,-1.2352994207011128,Early Mortality
Dunfermline,S02001753,-1.0726304285804864,Early Mortality
Dunfermline,S02001754,0.2813384181344429,Early Mortality
Dunfermline,S02001755,-1.4019418947004139,Early Mortality
Dunfermline,S02001756,1.5533803014274117,Early Mortality
Dunfermline,S02001757,0.284146019344723,Early Mortality
Dunfermline,S02001758,-0.11925483608501025,Early Mortality
Dunfermline,S02001768,0.05270841899386644,Early Mortality
Dunfermline,S02001744,1.173631383726455,Emergency Admissions
Dunfermline,S02001745,0.7402810481605846,Emergency Admissions
Dunfermline,S02001746,0.16365439761005388,Emergency Admissions
Dunfermline,S02001747,0.4489481059305672,Emergency Admissions
Dunfermline,S02001748,0.4433911938707493,Emergency Admissions
Dunfermline,S02001749,-0.385171110650818,Emergency Admissions
Dunfermline,S02001750,-0.09730424797600562,Emergency Admissions
Dunfermline,S02001751,0.3310956982759661,Emergency Admissions
Dunfermline,S02001752,0.5026499191348871,Emergency Admissions
Dunfermline,S02001753,-0.5013266040984273,Emergency Admissions
Dunfermline,S02001754,0.3044961470976615,Emergency Admissions
Dunfermline,S02001755,-2.854006572437882,Emergency Admissions
Dunfermline,S02001756,-1.5912291558098905,Emergency Admissions
Dunfermline,S02001757,-0.1423817749731064,Emergency Admissions
Dunfermline,S02001758,0.6387116222066367,Emergency Admissions
Dunfermline,S02001768,0.8245599499325682,Emergency Admissions
Dunfermline,S02001744,-0.8882019405531264,Out of Work Benefits
Dunfermline,S02001745,0.28397039275078995,Out of Work Benefits
Dunfermline,S02001746,0.8447018526646687,Out of Work Benefits
Dunfermline,S02001747,0.2505199557805027,Out of Work Benefits
Dunfermline,S02001748,0.37909322411603674,Out of Work Benefits
Dunfermline,S02001749,2.186955016536012,Out of Work Benefits
Dunfermline,S02001750,-0.7279614266781922,Out of Work Benefits
Dunfermline,S02001751,-0.23970140684935862,Out of Work Benefits
Dunfermline,S02001752,-0.054025703685356995,Out of Work Benefits
Dunfermline,S02001753,1.155874741309626,Out of Work Benefits
Dunfermline,S02001754,-0.2208610698065888,Out of Work Benefits
Dunfermline,S02001755,-0.08129734917180366,Out of Work Benefits
Dunfermline,S02001756,-2.056476923405425,Out of Work Benefits
Dunfermline,S02001757,-0.3119520837406324,Out of Work Benefits
Dunfermline,S02001758,-1.2563133805520013,Out of Work Benefits
Dunfermline,S02001768,0.7356761012848493,Out of Work Benefits
Dunfermline,S02001744,0.1627540074002126,Positive Destinations
Dunfermline,S02001745,-2.231014159456387,Positive Destinations
Dunfermline,S02001746,0.35071683798705067,Positive Destinations
Dunfermline,S02001747,-0.09393915895747529,Positive Destinations
Dunfermline,S02001748,0.16904762378336458,Positive Destinations
