InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High.is.Positive.,CPPScore,TypeScore
S02001346,Monifieth West,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.72414,Average Highest Attainment,Yes,0.8267393633306493,0.15821063853722428
S02001347,Monifieth East,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.74336,Average Highest Attainment,Yes,0.8908040135885414,0.21697022255046886
S02001454,Craigie and  Craigiebank,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,5.46809,Average Highest Attainment,Yes,0.6282256139492552,-0.6245880860513003
S02001456,West Ferry,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.89063,Average Highest Attainment,Yes,1.4602602481832117,0.6672055991181385
S02001458,Broughty Ferry West,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.74194,Average Highest Attainment,Yes,1.1674708560209377,0.2126289837732143
S02001459,Broughty Ferry East,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.76923,Average Highest Attainment,Yes,1.2212083132279363,0.29606025576704903
S02001460,Barnhill,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.92308,Average Highest Attainment,Yes,1.5241583971889667,0.7664120768095953
S02001469,Law,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,4.75581,Average Highest Attainment,Yes,-0.7743436795428702,-2.8021779144048016
S02001470,Balgay,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2019/20,5.63415,Average Highest Attainment,Yes,0.9552187302480454,-0.11690772594518731
S02001574,North Giffnock and North Thornliebank,East Renfrewshire,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,6.11,Average Highest Attainment,Yes,-0.07368801314273292,1.3378658459956427
S02001634,Mountcastle,"Edinburgh, City of",1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2019/20,5.67143,Average Highest Attainment,Yes,0.028774728610843223,-0.002934921990255964
