Strategic Area,InterZone,SAScore,Indicator
Cowdenbeath,S02001771,0.7157452535898455,Attainment
Cowdenbeath,S02001777,1.8511900853217214,Attainment
Cowdenbeath,S02001770,-1.8044386564401356,Attainment
Cowdenbeath,S02001778,-0.3877599119015246,Attainment
Cowdenbeath,S02001769,-0.3535535596697551,Attainment
Cowdenbeath,S02001774,-0.24462899467148663,Attainment
Cowdenbeath,S02001772,5.027921653315019e-4,Attainment
Cowdenbeath,S02001775,-0.7139978447529466,Attainment
Cowdenbeath,S02001776,0.978804465993918,Attainment
Cowdenbeath,S02001773,-0.0418636296349789,Attainment
Cowdenbeath,S02001771,1.603290356710572,Child Poverty
Cowdenbeath,S02001777,0.8573044789067793,Child Poverty
Cowdenbeath,S02001770,-0.3729696187461799,Child Poverty
Cowdenbeath,S02001778,-0.4755617443062301,Child Poverty
Cowdenbeath,S02001769,-0.3394979575875372,Child Poverty
Cowdenbeath,S02001774,-0.7904814837618975,Child Poverty
Cowdenbeath,S02001772,-0.6101021906811382,Child Poverty
Cowdenbeath,S02001775,-1.2578690043657834,Child Poverty
Cowdenbeath,S02001776,-0.22201630336316477,Child Poverty
Cowdenbeath,S02001773,1.6079034671945793,Child Poverty
Cowdenbeath,S02001771,-0.11204210918102558,Crime Rate
Cowdenbeath,S02001777,0.4381469942792942,Crime Rate
Cowdenbeath,S02001770,-0.3390679887368844,Crime Rate
Cowdenbeath,S02001778,-0.48519492740193443,Crime Rate
Cowdenbeath,S02001769,0.5182544230678993,Crime Rate
Cowdenbeath,S02001774,-1.4010481691701129,Crime Rate
Cowdenbeath,S02001772,0.4909873739558744,Crime Rate
Cowdenbeath,S02001775,-1.5869753298738862,Crime Rate
Cowdenbeath,S02001776,0.7989278209720242,Crime Rate
Cowdenbeath,S02001773,1.6780119120887533,Crime Rate
Cowdenbeath,S02001771,1.091026404506015,Depopulation
Cowdenbeath,S02001777,0.09291625591195449,Depopulation
Cowdenbeath,S02001770,-0.3797077762004647,Depopulation
Cowdenbeath,S02001778,-0.28885899908031115,Depopulation
Cowdenbeath,S02001769,-0.6398089462762085,Depopulation
Cowdenbeath,S02001774,-0.3167146208105399,Depopulation
Cowdenbeath,S02001772,-0.9833194196412746,Depopulation
Cowdenbeath,S02001775,-1.2478566162904892,Depopulation
Cowdenbeath,S02001776,0.6400919787591343,Depopulation
Cowdenbeath,S02001773,2.0322317391221842,Depopulation
Cowdenbeath,S02001771,0.869648564190468,Early Mortality
Cowdenbeath,S02001777,1.120530657190603,Early Mortality
Cowdenbeath,S02001770,-1.0974951195605909,Early Mortality
Cowdenbeath,S02001778,-0.8124018320604374,Early Mortality
Cowdenbeath,S02001769,-1.0917932538105877,Early Mortality
Cowdenbeath,S02001774,-1.1647771354106269,Early Mortality
Cowdenbeath,S02001772,-0.34712958686018747,Early Mortality
Cowdenbeath,S02001775,0.3713054976401999,Early Mortality
Cowdenbeath,S02001776,1.0954424478905898,Early Mortality
Cowdenbeath,S02001773,1.0566697607905684,Early Mortality
Cowdenbeath,S02001771,-2.1868432092186305,Emergency Admissions
Cowdenbeath,S02001777,0.2940247834857348,Emergency Admissions
Cowdenbeath,S02001770,0.1516969702536086,Emergency Admissions
Cowdenbeath,S02001778,-0.9694550477967062,Emergency Admissions
Cowdenbeath,S02001769,0.309354987705183,Emergency Admissions
Cowdenbeath,S02001774,0.32909739240284414,Emergency Admissions
Cowdenbeath,S02001772,1.4674977726194378,Emergency Admissions
Cowdenbeath,S02001775,0.2840264387022548,Emergency Admissions
Cowdenbeath,S02001776,-0.42227736089440165,Emergency Admissions
Cowdenbeath,S02001773,0.7428772727406766,Emergency Admissions
Cowdenbeath,S02001771,1.6164555269941439,Out of Work Benefits
Cowdenbeath,S02001777,0.8263115611036355,Out of Work Benefits
Cowdenbeath,S02001770,-0.34869028544613884,Out of Work Benefits
Cowdenbeath,S02001778,-0.8795864379142064,Out of Work Benefits
Cowdenbeath,S02001769,0.32799557893699155,Out of Work Benefits
Cowdenbeath,S02001774,-1.0250568077507494,Out of Work Benefits
Cowdenbeath,S02001772,-0.6126887380858673,Out of Work Benefits
Cowdenbeath,S02001775,-1.3999991190283054,Out of Work Benefits
Cowdenbeath,S02001776,0.43345057973499823,Out of Work Benefits
Cowdenbeath,S02001773,1.0618081414555018,Out of Work Benefits
Cowdenbeath,S02001771,0.262045919686731,Positive Destinations
Cowdenbeath,S02001777,0.13548630944687,Positive Destinations
Cowdenbeath,S02001770,1.3975304001896034,Positive Destinations
Cowdenbeath,S02001778,0.5196256111406666,Positive Destinations
Cowdenbeath,S02001769,-0.058976793088766695,Positive Destinations
Cowdenbeath,S02001774,-1.8716641481401572,Positive Destinations
Cowdenbeath,S02001772,-0.9654953529446751,Positive Destinations
Cowdenbeath,S02001775,1.3875541412407064,Positive Destinations
Cowdenbeath,S02001776,-0.42399548339261844,Positive Destinations
Cowdenbeath,S02001773,-0.3821106041383608,Positive Destinations
Dunfermline,S02001750,0.20312511573117795,Attainment
Dunfermline,S02001758,0.668512350549219,Attainment
Dunfermline,S02001749,1.2885727673372418,Attainment
Dunfermline,S02001752,-1.363475493742602,Attainment
Dunfermline,S02001753,-1.8275199067236048,Attainment
Dunfermline,S02001756,0.9861394491509196,Attainment
Dunfermline,S02001754,-1.4775407486776995,Attainment
Dunfermline,S02001751,0.2872255500434725,Attainment
Dunfermline,S02001755,0.6338227864257253,Attainment
Dunfermline,S02001745,0.061855285060522625,Attainment
Dunfermline,S02001747,0.9033569696046058,Attainment
Dunfermline,S02001744,0.7830998139764981,Attainment
Dunfermline,S02001746,-0.4271308001899149,Attainment
Dunfermline,S02001748,-1.1183607743409747,Attainment
Dunfermline,S02001768,-0.5312740937735618,Attainment
Dunfermline,S02001757,0.9295917295689684,Attainment
Dunfermline,S02001750,0.2595415726085052,Child Poverty
Dunfermline,S02001758,0.8625709887113631,Child Poverty
Dunfermline,S02001749,0.8804542957421723,Child Poverty
Dunfermline,S02001752,-1.7511202329180175,Child Poverty
Dunfermline,S02001753,-2.009972145908855,Child Poverty
Dunfermline,S02001756,1.1917028435592876,Child Poverty
Dunfermline,S02001754,-0.37489933218477806,Child Poverty
Dunfermline,S02001751,0.691802415860745,Child Poverty
Dunfermline,S02001755,0.844492794166294,Child Poverty
Dunfermline,S02001745,-0.8931338528037803,Child Poverty
Dunfermline,S02001747,0.16737659533168237,Child Poverty
Dunfermline,S02001744,0.5455517417173014,Child Poverty
Dunfermline,S02001746,-0.6996218606315293,Child Poverty
Dunfermline,S02001748,-0.6641231743774144,Child Poverty
Dunfermline,S02001768,-0.24988603968052014,Child Poverty
Dunfermline,S02001757,1.199263390807547,Child Poverty
Dunfermline,S02001750,0.48805438601123435,Crime Rate
Dunfermline,S02001758,0.23507876162340202,Crime Rate
Dunfermline,S02001749,0.7424375624663024,Crime Rate
Dunfermline,S02001752,-0.9672698489184598,Crime Rate
Dunfermline,S02001753,-0.7251671962168751,Crime Rate
Dunfermline,S02001756,0.9344111815418509,Crime Rate
Dunfermline,S02001754,0.45272210188479567,Crime Rate
Dunfermline,S02001751,0.39049160586198867,Crime Rate
Dunfermline,S02001755,0.8574499744180457,Crime Rate
Dunfermline,S02001745,-0.6931884484862089,Crime Rate
Dunfermline,S02001747,-2.9477458942185653,Crime Rate
Dunfermline,S02001744,0.7474636865136828,Crime Rate
