AreaCode,CouncilName,Decile,ScotlandDec
S02001236,Aberdeen City,5,3
S02001237,Aberdeen City,1,1
S02001238,Aberdeen City,3,1
S02001239,Aberdeen City,8,7
S02001240,Aberdeen City,2,1
S02001241,Aberdeen City,1,1
S02001242,Aberdeen City,1,1
S02001243,Aberdeen City,4,2
S02001244,Aberdeen City,8,6
S02001245,Aberdeen City,3,1
S02001246,Aberdeen City,5,4
S02001247,Aberdeen City,1,1
S02001248,Aberdeen City,2,1
S02001249,Aberdeen City,4,3
S02001250,Aberdeen City,7,5
S02001251,Aberdeen City,3,1
S02001252,Aberdeen City,4,2
S02001253,Aberdeen City,8,6
S02001254,Aberdeen City,6,4
S02001255,Aberdeen City,2,1
S02001256,Aberdeen City,4,2
S02001257,Aberdeen City,9,8
S02001258,Aberdeen City,10,9
S02001259,Aberdeen City,7,6
S02001260,Aberdeen City,5,3
S02001261,Aberdeen City,7,5
S02001262,Aberdeen City,7,6
S02001263,Aberdeen City,6,4
S02001264,Aberdeen City,8,7
S02001265,Aberdeen City,7,5
S02001266,Aberdeen City,10,8
S02001267,Aberdeen City,10,9
S02001268,Aberdeen City,6,4
S02001269,Aberdeen City,9,7
S02001270,Aberdeen City,9,8
S02001271,Aberdeen City,8,7
S02001272,Aberdeen City,9,8
S02001273,Aberdeen City,9,8
S02001274,Aberdeen City,10,9
S02001275,Aberdeen City,2,1
S02001276,Aberdeen City,5,4
S02001277,Aberdeen City,6,4
S02001278,Aberdeen City,5,4
S02001279,Aberdeen City,1,1
S02001280,Aberdeen City,3,1
S02001281,Aberdeen City,2,1
S02001282,Aberdeen City,6,4
S02001283,Aberdeen City,4,2
S02001284,Aberdeen City,3,1
S02001285,Aberdeenshire,6,3
S02001286,Aberdeenshire,5,2
S02001287,Aberdeenshire,6,3
S02001288,Aberdeenshire,7,4
S02001289,Aberdeenshire,6,3
S02001290,Aberdeenshire,1,1
S02001291,Aberdeenshire,7,4
S02001292,Aberdeenshire,5,2
S02001293,Aberdeenshire,2,1
S02001294,Aberdeenshire,1,1
S02001295,Aberdeenshire,3,2
S02001296,Aberdeenshire,2,1
S02001297,Aberdeenshire,5,2
S02001298,Aberdeenshire,3,2
S02001299,Aberdeenshire,1,1
S02001300,Aberdeenshire,5,2
S02001301,Aberdeenshire,4,2
S02001302,Aberdeenshire,8,5
S02001303,Aberdeenshire,6,3
S02001304,Aberdeenshire,9,5
S02001305,Aberdeenshire,1,1
S02001306,Aberdeenshire,2,1
S02001307,Aberdeenshire,2,1
S02001308,Aberdeenshire,1,1
S02001309,Aberdeenshire,1,1
S02001310,Aberdeenshire,2,1
S02001311,Aberdeenshire,3,1
S02001312,Aberdeenshire,2,1
S02001313,Aberdeenshire,4,2
S02001314,Aberdeenshire,6,3
S02001315,Aberdeenshire,3,2
S02001316,Aberdeenshire,4,2
S02001317,Aberdeenshire,3,2
S02001318,Aberdeenshire,5,2
S02001319,Aberdeenshire,4,2
S02001320,Aberdeenshire,6,3
S02001321,Aberdeenshire,9,6
S02001322,Aberdeenshire,3,2
S02001323,Aberdeenshire,8,5
S02001324,Aberdeenshire,8,5
S02001325,Aberdeenshire,7,4
S02001326,Aberdeenshire,9,6
S02001327,Aberdeenshire,9,6
S02001328,Aberdeenshire,8,4
S02001329,Aberdeenshire,9,5
S02001330,Aberdeenshire,7,3
S02001331,Aberdeenshire,9,6
S02001332,Aberdeenshire,4,2
S02001333,Aberdeenshire,8,4
S02001334,Aberdeenshire,7,4
S02001335,Aberdeenshire,10,7
S02001336,Aberdeenshire,10,8
S02001337,Aberdeenshire,7,4
S02001338,Aberdeenshire,5,2
S02001339,Aberdeenshire,8,5
S02001340,Aberdeenshire,4,2
S02001341,Aberdeenshire,10,8
S02001342,Aberdeenshire,10,7
S02001343,Aberdeenshire,10,9
S02001344,Angus,1,2
S02001345,Angus,1,1
S02001346,Angus,2,2
S02001347,Angus,1,2
S02001348,Angus,5,5
S02001349,Angus,2,2
S02001350,Angus,2,2
S02001351,Angus,6,6
S02001352,Angus,6,5
S02001353,Angus,10,9
S02001354,Angus,8,8
S02001355,Angus,10,9
S02001356,Angus,5,4
S02001357,Angus,8,8
S02001358,Angus,7,6
S02001359,Angus,3,3
S02001360,Angus,3,3
S02001361,Angus,9,8
S02001362,Angus,5,5
S02001363,Angus,4,3
S02001364,Angus,4,3
S02001365,Angus,9,8
S02001366,Angus,7,6
S02001367,Angus,4,3
S02001368,Angus,6,6
S02001369,Angus,3,3
S02001370,Argyll and Bute,2,3
S02001371,Argyll and Bute,7,6
S02001372,Argyll and Bute,3,4
S02001373,Argyll and Bute,2,3
S02001374,Argyll and Bute,3,3
S02001375,Argyll and Bute,4,4
S02001376,Argyll and Bute,7,6
S02001377,Argyll and Bute,3,4
S02001378,Argyll and Bute,6,4
S02001379,Argyll and Bute,6,5
S02001380,Argyll and Bute,9,8
S02001381,Argyll and Bute,5,4
S02001382,Argyll and Bute,10,10
S02001383,Argyll and Bute,4,4
S02001384,Argyll and Bute,5,4
S02001385,Argyll and Bute,9,7
S02001386,Argyll and Bute,10,8
S02001387,Argyll and Bute,2,3
S02001388,Argyll and Bute,1,2
S02001389,Argyll and Bute,1,2
S02001390,Argyll and Bute,8,7
S02001391,Argyll and Bute,8,6
S02001392,Argyll and Bute,1,2
S02001393,Clackmannanshire,5,7
S02001394,Clackmannanshire,8,8
S02001395,Clackmannanshire,1,3
S02001396,Clackmannanshire,4,7
S02001397,Clackmannanshire,6,7
S02001398,Clackmannanshire,7,7
S02001399,Clackmannanshire,1,2
S02001400,Clackmannanshire,2,6
S02001401,Clackmannanshire,9,8
S02001402,Clackmannanshire,10,10
S02001403,Clackmannanshire,3,7
S02001404,Clackmannanshire,2,4
S02001405,Dumfries and Galloway,10,9
S02001406,Dumfries and Galloway,10,8
S02001407,Dumfries and Galloway,9,8
S02001408,Dumfries and Galloway,6,6
S02001409,Dumfries and Galloway,8,7
S02001410,Dumfries and Galloway,7,6
S02001411,Dumfries and Galloway,9,7
S02001412,Dumfries and Galloway,8,7
S02001413,Dumfries and Galloway,3,4
S02001414,Dumfries and Galloway,3,4
S02001415,Dumfries and Galloway,7,6
S02001416,Dumfries and Galloway,7,6
S02001417,Dumfries and Galloway,1,2
S02001418,Dumfries and Galloway,6,6
S02001419,Dumfries and Galloway,9,8
S02001420,Dumfries and Galloway,6,5
S02001421,Dumfries and Galloway,2,3
S02001422,Dumfries and Galloway,4,5
S02001423,Dumfries and Galloway,10,10
S02001424,Dumfries and Galloway,9,8
S02001425,Dumfries and Galloway,4,5
S02001426,Dumfries and Galloway,4,5
S02001427,Dumfries and Galloway,3,4
S02001428,Dumfries and Galloway,1,2
S02001429,Dumfries and Galloway,1,2
S02001430,Dumfries and Galloway,10,9
S02001431,Dumfries and Galloway,5,5
S02001432,Dumfries and Galloway,5,5
S02001433,Dumfries and Galloway,2,2
S02001434,Dumfries and Galloway,1,2
S02001435,Dumfries and Galloway,3,4
S02001436,Dumfries and Galloway,7,6
S02001437,Dumfries and Galloway,4,4
S02001438,Dumfries and Galloway,6,5
S02001439,Dumfries and Galloway,5,5
S02001440,Dumfries and Galloway,2,4
S02001441,Dumfries and Galloway,8,7
S02001442,Dumfries and Galloway,8,7
S02001443,Dumfries and Galloway,2,3
S02001444,Dumfries and Galloway,5,5
S02001445,Dundee City,1,2
S02001446,Dundee City,3,5
S02001447,Dundee City,5,7
S02001448,Dundee City,5,8
S02001449,Dundee City,6,8
S02001450,Dundee City,10,10
S02001451,Dundee City,9,10
S02001452,Dundee City,7,9
S02001453,Dundee City,2,3
S02001454,Dundee City,4,7
S02001455,Dundee City,9,10
S02001456,Dundee City,1,2
S02001457,Dundee City,8,10
S02001458,Dundee City,2,3
S02001459,Dundee City,2,2
S02001460,Dundee City,3,3
S02001461,Dundee City,1,2
S02001462,Dundee City,9,10
S02001463,Dundee City,5,8
S02001464,Dundee City,10,10
S02001465,Dundee City,6,8
S02001466,Dundee City,7,9
S02001467,Dundee City,4,5
S02001468,Dundee City,4,6
S02001469,Dundee City,7,9
S02001470,Dundee City,3,5
S02001471,Dundee City,6,9
S02001472,Dundee City,10,10
S02001473,Dundee City,8,10
S02001474,Dundee City,8,9
S02001475,Dundee City,1,1
S02001476,East Ayrshire,10,10
S02001477,East Ayrshire,6,8
S02001478,East Ayrshire,4,7
S02001479,East Ayrshire,5,8
S02001480,East Ayrshire,3,6
S02001481,East Ayrshire,7,8
S02001482,East Ayrshire,9,9
S02001483,East Ayrshire,8,9
S02001484,East Ayrshire,4,7
S02001485,East Ayrshire,9,9
S02001486,East Ayrshire,1,2
S02001487,East Ayrshire,2,5
S02001488,East Ayrshire,4,6
S02001489,East Ayrshire,3,6
S02001490,East Ayrshire,8,9
S02001491,East Ayrshire,5,8
S02001492,East Ayrshire,5,8
S02001493,East Ayrshire,10,10
S02001494,East Ayrshire,8,9
S02001495,East Ayrshire,7,8
S02001496,East Ayrshire,2,5
S02001497,East Ayrshire,6,8
S02001498,East Ayrshire,6,8
S02001499,East Ayrshire,1,1
S02001500,East Ayrshire,9,10
S02001501,East Ayrshire,10,10
S02001502,East Ayrshire,7,8
S02001503,East Ayrshire,1,1
S02001504,East Ayrshire,2,5
S02001505,East Ayrshire,3,6
S02001506,East Dunbartonshire,2,1
S02001507,East Dunbartonshire,8,5
S02001508,East Dunbartonshire,3,1
S02001509,East Dunbartonshire,6,3
S02001510,East Dunbartonshire,1,1
S02001511,East Dunbartonshire,3,1
S02001512,East Dunbartonshire,2,1
S02001513,East Dunbartonshire,6,2
S02001514,East Dunbartonshire,5,2
S02001515,East Dunbartonshire,4,1
S02001516,East Dunbartonshire,1,1
S02001517,East Dunbartonshire,2,1
S02001518,East Dunbartonshire,4,2
S02001519,East Dunbartonshire,4,2
S02001520,East Dunbartonshire,5,2
S02001521,East Dunbartonshire,9,7
S02001522,East Dunbartonshire,3,1
S02001523,East Dunbartonshire,5,2
S02001524,East Dunbartonshire,7,3
S02001525,East Dunbartonshire,1,1
S02001526,East Dunbartonshire,7,5
S02001527,East Dunbartonshire,8,6
S02001528,East Dunbartonshire,10,10
S02001529,East Dunbartonshire,6,3
S02001530,East Dunbartonshire,8,6
S02001531,East Dunbartonshire,10,8
S02001532,East Dunbartonshire,7,3
S02001533,East Dunbartonshire,9,6
S02001534,East Lothian,6,6
S02001535,East Lothian,5,5
S02001536,East Lothian,2,3
S02001537,East Lothian,9,8
S02001538,East Lothian,10,8
S02001539,East Lothian,10,9
S02001540,East Lothian,9,8
S02001541,East Lothian,7,7
S02001542,East Lothian,4,4
