Most_Deprived_Comm,IGZ
1,S02001274
1,S02001343
1,S02001353
1,S02001386
1,S02001402
1,S02001423
1,S02001464
1,S02001501
1,S02001528
1,S02001541
1,S02001558
1,S02001627
1,S02001690
1,S02001711
1,S02001815
1,S02001907
1,S02002002
1,S02002046
1,S02002066
1,S02002078
1,S02002109
1,S02002139
1,S02002216
1,S02002239
1,S02002263
1,S02002316
1,S02002327
1,S02002343
1,S02002386
1,S02002450
1,S02002465
1,S02002487
2,S02001258
2,S02001336
2,S02001355
2,S02001382
2,S02001401
2,S02001405
2,S02001462
2,S02001493
2,S02001521
2,S02001540
2,S02001560
2,S02001582
2,S02001691
2,S02001717
2,S02001775
2,S02001905
2,S02002020
2,S02002049
2,S02002068
2,S02002084
2,S02002112
2,S02002170
2,S02002218
2,S02002248
2,S02002264
2,S02002300
2,S02002324
2,S02002340
2,S02002396
2,S02002446
2,S02002461
2,S02002501
3,S02001267
3,S02001341
3,S02001361
3,S02001380
3,S02001400
3,S02001430
3,S02001472
3,S02001500
3,S02001531
3,S02001534
3,S02001556
3,S02001628
3,S02001689
3,S02001718
3,S02001795
3,S02001894
3,S02002000
3,S02002045
3,S02002071
3,S02002076
3,S02002111
3,S02002188
3,S02002217
3,S02002235
3,S02002259
3,S02002306
3,S02002328
3,S02002342
3,S02002398
3,S02002451
3,S02002462
3,S02002496
4,S02001266
4,S02001326
4,S02001365
4,S02001385
4,S02001397
4,S02001424
4,S02001457
4,S02001476
4,S02001530
4,S02001543
4,S02001567
4,S02001584
4,S02001694
4,S02001705
4,S02001814
4,S02001893
4,S02002027
4,S02002040
4,S02002072
4,S02002088
4,S02002106
4,S02002183
4,S02002213
4,S02002234
4,S02002277
4,S02002298
4,S02002323
4,S02002330
4,S02002410
4,S02002442
4,S02002460
4,S02002490
5,S02001273
5,S02001342
5,S02001357
5,S02001391
5,S02001393
5,S02001419
5,S02001450
5,S02001482
5,S02001533
5,S02001539
5,S02001559
5,S02001668
5,S02001687
5,S02001736
5,S02001816
5,S02001975
5,S02002021
5,S02002047
5,S02002069
5,S02002079
5,S02002110
5,S02002155
5,S02002214
5,S02002237
5,S02002287
5,S02002318
5,S02002326
5,S02002341
5,S02002375
5,S02002441
5,S02002475
5,S02002498
