"CPP","Year","Indicator","Type","value"
"Aberdeen City","2014/15","Child Poverty","Raw",9.78109952438628
"Aberdeen City","2015/16","Child Poverty","Raw",10.9837072571445
"Aberdeen City","2016/17","Child Poverty","Raw",13.1903174373098
"Aberdeen City","2017/18","Child Poverty","Raw",15.0604312002986
"Aberdeen City","2018/19","Child Poverty","Raw",14.7898258193829
"Aberdeen City","2019/20","Child Poverty","Raw",14.9347564894241
"Aberdeen City","2020/21","Child Poverty","Raw",13.1929726715003
"Aberdeenshire","2014/15","Child Poverty","Raw",7.524152611757
"Aberdeenshire","2015/16","Child Poverty","Raw",8.4651429272984
"Aberdeenshire","2016/17","Child Poverty","Raw",9.74472263132057
"Aberdeenshire","2017/18","Child Poverty","Raw",10.409316174821
"Aberdeenshire","2018/19","Child Poverty","Raw",10.0375387628529
"Aberdeenshire","2019/20","Child Poverty","Raw",10.831244606977
"Aberdeenshire","2020/21","Child Poverty","Raw",9.75956194161966
"Angus","2014/15","Child Poverty","Raw",13.1582964432911
"Angus","2015/16","Child Poverty","Raw",13.4070455129853
"Angus","2016/17","Child Poverty","Raw",15.7973869763584
"Angus","2017/18","Child Poverty","Raw",17.5089596426531
"Angus","2018/19","Child Poverty","Raw",17.6442935492296
"Angus","2019/20","Child Poverty","Raw",18.2885551089486
"Angus","2020/21","Child Poverty","Raw",15.8162991576801
"Argyll and Bute","2014/15","Child Poverty","Raw",13.0078242551911
"Argyll and Bute","2015/16","Child Poverty","Raw",13.4008158332074
"Argyll and Bute","2016/17","Child Poverty","Raw",15.0953430069133
"Argyll and Bute","2017/18","Child Poverty","Raw",16.9686732186732
"Argyll and Bute","2018/19","Child Poverty","Raw",16.682163334883
"Argyll and Bute","2019/20","Child Poverty","Raw",17.5876600143118
"Argyll and Bute","2020/21","Child Poverty","Raw",13.9538622297243
"Edinburgh, City of","2014/15","Child Poverty","Raw",9.92931097913491
"Edinburgh, City of","2015/16","Child Poverty","Raw",10.0007755545215
"Edinburgh, City of","2016/17","Child Poverty","Raw",11.4769640752319
"Edinburgh, City of","2017/18","Child Poverty","Raw",12.7004751531828
"Edinburgh, City of","2018/19","Child Poverty","Raw",12.0973351714369
"Edinburgh, City of","2019/20","Child Poverty","Raw",12.6620341124447
"Edinburgh, City of","2020/21","Child Poverty","Raw",11.384568543374
"Clackmannanshire","2014/15","Child Poverty","Raw",16.6685125706058
"Clackmannanshire","2015/16","Child Poverty","Raw",17.2429078014184
"Clackmannanshire","2016/17","Child Poverty","Raw",19.2350332594235
