"Year","CPP","children_population"
2011,"Aberdeen City",32200
2012,"Aberdeen City",32900
2013,"Aberdeen City",33100
2014,"Aberdeen City",33500
2015,"Aberdeen City",33900
2016,"Aberdeen City",34200
2017,"Aberdeen City",34500
2018,"Aberdeen City",34800
2019,"Aberdeen City",35400
2020,"Aberdeen City",35800
2011,"Aberdeenshire",47500
2012,"Aberdeenshire",47800
2013,"Aberdeenshire",48100
2014,"Aberdeenshire",48700
2015,"Aberdeenshire",48900
2016,"Aberdeenshire",48900
2017,"Aberdeenshire",48900
2018,"Aberdeenshire",49000
2019,"Aberdeenshire",49000
2020,"Aberdeenshire",48700
2011,"Angus",20200
2012,"Angus",20000
2013,"Angus",19800
2014,"Angus",19700
2015,"Angus",19700
2016,"Angus",19400
2017,"Angus",19300
2018,"Angus",19300
2019,"Angus",19100
2020,"Angus",18900
2011,"Argyll and Bute",14400
2012,"Argyll and Bute",14100
2013,"Argyll and Bute",13800
2014,"Argyll and Bute",13600
2015,"Argyll and Bute",13300
2016,"Argyll and Bute",13200
2017,"Argyll and Bute",13200
2018,"Argyll and Bute",13000
2019,"Argyll and Bute",12900
2020,"Argyll and Bute",12600
2011,"Clackmannanshire",9300
2012,"Clackmannanshire",9200
2013,"Clackmannanshire",9200
2014,"Clackmannanshire",9100
2015,"Clackmannanshire",9000
2016,"Clackmannanshire",9000
2017,"Clackmannanshire",9000
2018,"Clackmannanshire",9000
2019,"Clackmannanshire",8900
2020,"Clackmannanshire",8900
2011,"Dumfries and Galloway",25100
2012,"Dumfries and Galloway",24600
2013,"Dumfries and Galloway",24300
2014,"Dumfries and Galloway",23900
2015,"Dumfries and Galloway",23700
2016,"Dumfries and Galloway",23600
2017,"Dumfries and Galloway",23500
2018,"Dumfries and Galloway",23400
2019,"Dumfries and Galloway",23200
2020,"Dumfries and Galloway",23100
2011,"Dundee City",23700
2012,"Dundee City",23700
2013,"Dundee City",23800
2014,"Dundee City",23700
2015,"Dundee City",23800
2016,"Dundee City",23800
2017,"Dundee City",24000
2018,"Dundee City",24000
2019,"Dundee City",24000
2020,"Dundee City",24000
2011,"East Ayrshire",21600
2012,"East Ayrshire",21600
2013,"East Ayrshire",21400
2014,"East Ayrshire",21200
2015,"East Ayrshire",21200
2016,"East Ayrshire",21300
2017,"East Ayrshire",21200
2018,"East Ayrshire",21100
2019,"East Ayrshire",21100
2020,"East Ayrshire",20900
2011,"East Dunbartonshire",18600
2012,"East Dunbartonshire",18500
2013,"East Dunbartonshire",18300
2014,"East Dunbartonshire",18400
2015,"East Dunbartonshire",18500
2016,"East Dunbartonshire",18800
2017,"East Dunbartonshire",19100
2018,"East Dunbartonshire",19200
2019,"East Dunbartonshire",19400
2020,"East Dunbartonshire",19500
2011,"East Lothian",18700
2012,"East Lothian",18800
2013,"East Lothian",18700
2014,"East Lothian",18800
2015,"East Lothian",18900
2016,"East Lothian",19000
2017,"East Lothian",19100
2018,"East Lothian",19400
2019,"East Lothian",19700
2020,"East Lothian",19700
2011,"East Renfrewshire",17900
2012,"East Renfrewshire",17900
2013,"East Renfrewshire",18000
2014,"East Renfrewshire",18200
2015,"East Renfrewshire",18400
2016,"East Renfrewshire",18700
2017,"East Renfrewshire",19000
2018,"East Renfrewshire",19300
2019,"East Renfrewshire",19500
2020,"East Renfrewshire",19600
2011,"Edinburgh, City of",72500
2012,"Edinburgh, City of",73400
2013,"Edinburgh, City of",74400
