"CPP","Year","Indicator","Type","value"
"Aberdeen City","2008/2009","Crime","Raw",1192
"Aberdeen City","2009/2010","Crime","Raw",1055
"Aberdeen City","2010/2011","Crime","Raw",1061
"Aberdeen City","2011/2012","Crime","Raw",1011
"Aberdeen City","2012/2013","Crime","Raw",885
"Aberdeen City","2013/2014","Crime","Raw",833
"Aberdeen City","2014/2015","Crime","Raw",761
"Aberdeen City","2015/2016","Crime","Raw",765
"Aberdeen City","2016/2017","Crime","Raw",749
"Aberdeen City","2017/2018","Crime","Raw",680
"Aberdeen City","2018/2019","Crime","Raw",627
"Aberdeen City","2019/2020","Crime","Raw",626
"Aberdeen City","2020/2021","Crime","Raw",623
"Aberdeen City","2021/2022","Crime","Raw",689
"Aberdeenshire","2008/2009","Crime","Raw",440
"Aberdeenshire","2009/2010","Crime","Raw",404
"Aberdeenshire","2010/2011","Crime","Raw",408
"Aberdeenshire","2011/2012","Crime","Raw",379
"Aberdeenshire","2012/2013","Crime","Raw",360
"Aberdeenshire","2013/2014","Crime","Raw",343
"Aberdeenshire","2014/2015","Crime","Raw",292
"Aberdeenshire","2015/2016","Crime","Raw",316
"Aberdeenshire","2016/2017","Crime","Raw",315
"Aberdeenshire","2017/2018","Crime","Raw",313
"Aberdeenshire","2018/2019","Crime","Raw",312
"Aberdeenshire","2019/2020","Crime","Raw",326
"Aberdeenshire","2020/2021","Crime","Raw",292
"Aberdeenshire","2021/2022","Crime","Raw",313
"Angus","2008/2009","Crime","Raw",640
"Angus","2009/2010","Crime","Raw",527
"Angus","2010/2011","Crime","Raw",507
"Angus","2011/2012","Crime","Raw",430
"Angus","2012/2013","Crime","Raw",424
"Angus","2013/2014","Crime","Raw",447
"Angus","2014/2015","Crime","Raw",441
"Angus","2015/2016","Crime","Raw",438
"Angus","2016/2017","Crime","Raw",402
"Angus","2017/2018","Crime","Raw",408
"Angus","2018/2019","Crime","Raw",371
"Angus","2019/2020","Crime","Raw",380
"Angus","2020/2021","Crime","Raw",380
"Angus","2021/2022","Crime","Raw",409
"Argyll and Bute","2008/2009","Crime","Raw",631
"Argyll and Bute","2009/2010","Crime","Raw",575
"Argyll and Bute","2010/2011","Crime","Raw",555
"Argyll and Bute","2011/2012","Crime","Raw",531
"Argyll and Bute","2012/2013","Crime","Raw",451
"Argyll and Bute","2013/2014","Crime","Raw",412
"Argyll and Bute","2014/2015","Crime","Raw",392
"Argyll and Bute","2015/2016","Crime","Raw",378
"Argyll and Bute","2016/2017","Crime","Raw",325
"Argyll and Bute","2017/2018","Crime","Raw",337
"Argyll and Bute","2018/2019","Crime","Raw",351
"Argyll and Bute","2019/2020","Crime","Raw",372
"Argyll and Bute","2020/2021","Crime","Raw",374
"Argyll and Bute","2021/2022","Crime","Raw",352
"City of Edinburgh","2008/2009","Crime","Raw",1125
"City of Edinburgh","2009/2010","Crime","Raw",1008
"City of Edinburgh","2010/2011","Crime","Raw",958
"City of Edinburgh","2011/2012","Crime","Raw",897
"City of Edinburgh","2012/2013","Crime","Raw",770
"City of Edinburgh","2013/2014","Crime","Raw",870
"City of Edinburgh","2014/2015","Crime","Raw",855
"City of Edinburgh","2015/2016","Crime","Raw",772
"City of Edinburgh","2016/2017","Crime","Raw",712
"City of Edinburgh","2017/2018","Crime","Raw",775
"City of Edinburgh","2018/2019","Crime","Raw",734
"City of Edinburgh","2019/2020","Crime","Raw",701
"City of Edinburgh","2020/2021","Crime","Raw",619
"City of Edinburgh","2021/2022","Crime","Raw",607
"Clackmannanshire","2008/2009","Crime","Raw",915
"Clackmannanshire","2009/2010","Crime","Raw",762
"Clackmannanshire","2010/2011","Crime","Raw",789
"Clackmannanshire","2011/2012","Crime","Raw",728
"Clackmannanshire","2012/2013","Crime","Raw",624
"Clackmannanshire","2013/2014","Crime","Raw",574
"Clackmannanshire","2014/2015","Crime","Raw",601
"Clackmannanshire","2015/2016","Crime","Raw",582
"Clackmannanshire","2016/2017","Crime","Raw",527
"Clackmannanshire","2017/2018","Crime","Raw",569
"Clackmannanshire","2018/2019","Crime","Raw",554
"Clackmannanshire","2019/2020","Crime","Raw",591
"Clackmannanshire","2020/2021","Crime","Raw",597
"Clackmannanshire","2021/2022","Crime","Raw",542
"Dumfries and Galloway","2008/2009","Crime","Raw",609
"Dumfries and Galloway","2009/2010","Crime","Raw",562
"Dumfries and Galloway","2010/2011","Crime","Raw",554
"Dumfries and Galloway","2011/2012","Crime","Raw",496
"Dumfries and Galloway","2012/2013","Crime","Raw",437
"Dumfries and Galloway","2013/2014","Crime","Raw",458
"Dumfries and Galloway","2014/2015","Crime","Raw",430
"Dumfries and Galloway","2015/2016","Crime","Raw",508
"Dumfries and Galloway","2016/2017","Crime","Raw",511
"Dumfries and Galloway","2017/2018","Crime","Raw",529
"Dumfries and Galloway","2018/2019","Crime","Raw",580
"Dumfries and Galloway","2019/2020","Crime","Raw",562
"Dumfries and Galloway","2020/2021","Crime","Raw",546
"Dumfries and Galloway","2021/2022","Crime","Raw",580
"Dundee City","2008/2009","Crime","Raw",1084
"Dundee City","2009/2010","Crime","Raw",980
"Dundee City","2010/2011","Crime","Raw",1012
"Dundee City","2011/2012","Crime","Raw",818
"Dundee City","2012/2013","Crime","Raw",754
"Dundee City","2013/2014","Crime","Raw",775
