"value","Year","IZCode","IZName","CPP","Indicator","Type"
6.11,"2011/12-2013/14","S02001841","Newport and Wormit","Fife","Attainment","Raw"
5.72,"2011/12-2013/14","S02001840","Tayport","Fife","Attainment","Raw"
5.43,"2011/12-2013/14","S02001843","Darnley North","Glasgow City","Attainment","Raw"
5.24,"2011/12-2013/14","S02001842","Darnley East","Glasgow City","Attainment","Raw"
6.25,"2011/12-2013/14","S02001837","St Andrews North and Strathkinness","Fife","Attainment","Raw"
5.92,"2011/12-2013/14","S02001836","St Andrews South West","Fife","Attainment","Raw"
5.87,"2011/12-2013/14","S02001839","Balmullo and Gauldry","Fife","Attainment","Raw"
5.46,"2011/12-2013/14","S02001838","Leuchars and Guardbridge","Fife","Attainment","Raw"
5.01,"2011/12-2013/14","S02001849","Pollok North and East","Glasgow City","Attainment","Raw"
5.77,"2011/12-2013/14","S02001848","Pollok South and West","Glasgow City","Attainment","Raw"
5.16,"2011/12-2013/14","S02001851","Cardonald North","Glasgow City","Attainment","Raw"
5.33,"2011/12-2013/14","S02001850","Cardonald South and East","Glasgow City","Attainment","Raw"
4.95,"2011/12-2013/14","S02001845","Nitshill","Glasgow City","Attainment","Raw"
5.75,"2011/12-2013/14","S02001844","Darnley West","Glasgow City","Attainment","Raw"
5.13,"2011/12-2013/14","S02001847","Crookston North","Glasgow City","Attainment","Raw"
4.75,"2011/12-2013/14","S02001846","Crookston South","Glasgow City","Attainment","Raw"
5.26,"2011/12-2013/14","S02001825","Newburgh","Fife","Attainment","Raw"
5.41,"2011/12-2013/14","S02001824","Auchtermuchty and Gateside","Fife","Attainment","Raw"
5.19,"2011/12-2013/14","S02001827","Cupar Central","Fife","Attainment","Raw"
5.77,"2011/12-2013/14","S02001826","Cupar West and Springfield","Fife","Attainment","Raw"
5.05,"2011/12-2013/14","S02001821","Kennoway and Bonnybank","Fife","Attainment","Raw"
5.78,"2011/12-2013/14","S02001820","Largo","Fife","Attainment","Raw"
5.73,"2011/12-2013/14","S02001823","Falkland and Freuchie","Fife","Attainment","Raw"
5.46,"2011/12-2013/14","S02001822","Kettle and Ladybank","Fife","Attainment","Raw"
5.97,"2011/12-2013/14","S02001833","Crail and Boarhills","Fife","Attainment","Raw"
5.43,"2011/12-2013/14","S02001832","Anstruther","Fife","Attainment","Raw"
5.41,"2011/12-2013/14","S02001835","St Andrews Central","Fife","Attainment","Raw"
5.3,"2011/12-2013/14","S02001834","St Andrews South East","Fife","Attainment","Raw"
5.98,"2011/12-2013/14","S02001829","Dairsie Ceres and Dunino","Fife","Attainment","Raw"
5.65,"2011/12-2013/14","S02001828","Cupar East","Fife","Attainment","Raw"
5.39,"2011/12-2013/14","S02001831","St Monans and Pittenweem","Fife","Attainment","Raw"
5.8,"2011/12-2013/14","S02001830","Elie Colinsburgh and Largoward","Fife","Attainment","Raw"
5.63,"2011/12-2013/14","S02001873","Pollokshaws","Glasgow City","Attainment","Raw"
6.08,"2011/12-2013/14","S02001872","Langside","Glasgow City","Attainment","Raw"
5.34,"2011/12-2013/14","S02001875","Carnwadric East","Glasgow City","Attainment","Raw"
5.3,"2011/12-2013/14","S02001874","Carnwadric West","Glasgow City","Attainment","Raw"
5.9,"2011/12-2013/14","S02001869","Maxwell Park","Glasgow City","Attainment","Raw"
5.12,"2011/12-2013/14","S02001868","Strathbungo","Glasgow City","Attainment","Raw"
5.94,"2011/12-2013/14","S02001871","Shawlands East","Glasgow City","Attainment","Raw"
5.52,"2011/12-2013/14","S02001870","Shawlands West","Glasgow City","Attainment","Raw"
5.1,"2011/12-2013/14","S02001881","Glenwood South","Glasgow City","Attainment","Raw"
5.21,"2011/12-2013/14","S02001880","Carmunnock South","Glasgow City","Attainment","Raw"
5.28,"2011/12-2013/14","S02001883","Castlemilk","Glasgow City","Attainment","Raw"
