"CPP","Year","Indicator","Type","value"
"Aberdeen City","2011/12-2013/14","Attainment","Raw",5.36489795918367
"Aberdeen City","2012/13-2014/15","Attainment","Raw",5.37877551020408
"Aberdeen City","2013/14-2015/16","Attainment","Raw",5.43591836734694
"Aberdeen City","2014/15-2016/17","Attainment","Raw",5.43897959183673
"Aberdeen City","2015/16-2017/18","Attainment","Raw",5.4630612244898
"Aberdeen City","2016/17-2018/19","Attainment","Raw",5.43221448979592
"Aberdeen City","2017/18-2019/20","Attainment","Raw",5.47610224489796
"Aberdeenshire","2011/12-2013/14","Attainment","Raw",5.44271186440678
"Aberdeenshire","2012/13-2014/15","Attainment","Raw",5.46694915254237
"Aberdeenshire","2013/14-2015/16","Attainment","Raw",5.49610169491525
"Aberdeenshire","2014/15-2016/17","Attainment","Raw",5.56322033898305
"Aberdeenshire","2015/16-2017/18","Attainment","Raw",5.5806779661017
"Aberdeenshire","2016/17-2018/19","Attainment","Raw",5.5521613559322
"Aberdeenshire","2017/18-2019/20","Attainment","Raw",5.55609627118644
"Angus","2011/12-2013/14","Attainment","Raw",5.50153846153846
"Angus","2012/13-2014/15","Attainment","Raw",5.54807692307692
"Angus","2013/14-2015/16","Attainment","Raw",5.54346153846154
"Angus","2014/15-2016/17","Attainment","Raw",5.54692307692308
"Angus","2015/16-2017/18","Attainment","Raw",5.52884615384615
"Angus","2016/17-2018/19","Attainment","Raw",5.49265076923077
"Angus","2017/18-2019/20","Attainment","Raw",5.47611038461538
"Argyll and Bute","2011/12-2013/14","Attainment","Raw",5.6104347826087
"Argyll and Bute","2012/13-2014/15","Attainment","Raw",5.59086956521739
"Argyll and Bute","2013/14-2015/16","Attainment","Raw",5.58739130434783
"Argyll and Bute","2014/15-2016/17","Attainment","Raw",5.59608695652174
"Argyll and Bute","2015/16-2017/18","Attainment","Raw",5.63130434782609
"Argyll and Bute","2016/17-2018/19","Attainment","Raw",5.62352434782609
"Argyll and Bute","2017/18-2019/20","Attainment","Raw",5.64031217391304
"Clackmannanshire","2011/12-2013/14","Attainment","Raw",5.39833333333333
"Clackmannanshire","2012/13-2014/15","Attainment","Raw",5.41583333333333
"Clackmannanshire","2013/14-2015/16","Attainment","Raw",5.40916666666667
"Clackmannanshire","2014/15-2016/17","Attainment","Raw",5.40833333333333
"Clackmannanshire","2015/16-2017/18","Attainment","Raw",5.38916666666667
"Clackmannanshire","2016/17-2018/19","Attainment","Raw",5.37713333333333
"Clackmannanshire","2017/18-2019/20","Attainment","Raw",5.36015083333333
"Dumfries and Galloway","2011/12-2013/14","Attainment","Raw",5.555
"Dumfries and Galloway","2012/13-2014/15","Attainment","Raw",5.58625
"Dumfries and Galloway","2013/14-2015/16","Attainment","Raw",5.5935
"Dumfries and Galloway","2014/15-2016/17","Attainment","Raw",5.60525
"Dumfries and Galloway","2015/16-2017/18","Attainment","Raw",5.58475
"Dumfries and Galloway","2016/17-2018/19","Attainment","Raw",5.55491825
"Dumfries and Galloway","2017/18-2019/20","Attainment","Raw",5.5556965
"Dundee City","2011/12-2013/14","Attainment","Raw",5.35322580645161
"Dundee City","2012/13-2014/15","Attainment","Raw",5.28193548387097
"Dundee City","2013/14-2015/16","Attainment","Raw",5.23225806451613
"Dundee City","2014/15-2016/17","Attainment","Raw",5.23225806451613
"Dundee City","2015/16-2017/18","Attainment","Raw",5.17677419354839
"Dundee City","2016/17-2018/19","Attainment","Raw",5.14339709677419
"Dundee City","2017/18-2019/20","Attainment","Raw",5.14905225806452
