"CPP","Year","Indicator","Type","value"
"Aberdeen City","2005-2006","Employment Rate","Raw",77.0666666666667
"Aberdeen City","2006-2007","Employment Rate","Raw",77.9
"Aberdeen City","2007-2008","Employment Rate","Raw",78.4
"Aberdeen City","2008-2009","Employment Rate","Raw",78.2666666666667
"Aberdeen City","2009-2010","Employment Rate","Raw",78.1
"Aberdeen City","2010-2011","Employment Rate","Raw",76.9333333333333
"Aberdeen City","2011-2012","Employment Rate","Raw",76.0333333333333
"Aberdeen City","2012-2013","Employment Rate","Raw",75.2333333333333
"Aberdeen City","2013-2014","Employment Rate","Raw",75.9
"Aberdeen City","2014-2015","Employment Rate","Raw",76.1
"Aberdeen City","2015-2016","Employment Rate","Raw",75.4666666666667
"Aberdeen City","2016-2017","Employment Rate","Raw",74.8666666666667
"Aberdeen City","2017-2018","Employment Rate","Raw",74.5333333333333
"Aberdeen City","2018-2019","Employment Rate","Raw",76.4666666666667
"Aberdeen City","2019-2020","Employment Rate","Raw",76
"Aberdeenshire","2005-2006","Employment Rate","Raw",78.6333333333333
"Aberdeenshire","2006-2007","Employment Rate","Raw",79.6666666666667
"Aberdeenshire","2007-2008","Employment Rate","Raw",80.4
"Aberdeenshire","2008-2009","Employment Rate","Raw",80.2
"Aberdeenshire","2009-2010","Employment Rate","Raw",80.4666666666667
"Aberdeenshire","2010-2011","Employment Rate","Raw",79.8666666666667
"Aberdeenshire","2011-2012","Employment Rate","Raw",80.3
"Aberdeenshire","2012-2013","Employment Rate","Raw",79.5333333333333
"Aberdeenshire","2013-2014","Employment Rate","Raw",80.3333333333333
"Aberdeenshire","2014-2015","Employment Rate","Raw",80
"Aberdeenshire","2015-2016","Employment Rate","Raw",79.7333333333333
"Aberdeenshire","2016-2017","Employment Rate","Raw",79.8333333333333
"Aberdeenshire","2017-2018","Employment Rate","Raw",80.0666666666667
"Aberdeenshire","2018-2019","Employment Rate","Raw",81.0666666666667
"Aberdeenshire","2019-2020","Employment Rate","Raw",79.3333333333333
"Angus","2005-2006","Employment Rate","Raw",75.9
"Angus","2006-2007","Employment Rate","Raw",76.9333333333333
"Angus","2007-2008","Employment Rate","Raw",77.5333333333333
"Angus","2008-2009","Employment Rate","Raw",76.3333333333333
"Angus","2009-2010","Employment Rate","Raw",74.8333333333333
"Angus","2010-2011","Employment Rate","Raw",73
"Angus","2011-2012","Employment Rate","Raw",72.5
"Angus","2012-2013","Employment Rate","Raw",72.3333333333333
"Angus","2013-2014","Employment Rate","Raw",72.5666666666667
"Angus","2014-2015","Employment Rate","Raw",73.5666666666667
"Angus","2015-2016","Employment Rate","Raw",75.0333333333333
"Angus","2016-2017","Employment Rate","Raw",76
"Angus","2017-2018","Employment Rate","Raw",76.3333333333333
"Angus","2018-2019","Employment Rate","Raw",76.3
"Angus","2019-2020","Employment Rate","Raw",75.0666666666667
