"CPP","Year","Indicator","Type","value"
"West Lothian","2008-09","Employment Rate","Raw",74.7
"West Lothian","2009-10","Employment Rate","Raw",73.6
"West Lothian","2010-11","Employment Rate","Raw",72.3
"West Lothian","2011-12","Employment Rate","Raw",73.1
"West Lothian","2012-13","Employment Rate","Raw",73.5
"West Lothian","2013-14","Employment Rate","Raw",75.1
"West Lothian","2014-15","Employment Rate","Raw",74.7
"West Lothian","2015-16","Employment Rate","Raw",75.2
"West Lothian","2016-17","Employment Rate","Raw",75.3
"West Lothian","2017-18","Employment Rate","Raw",76.4
"West Lothian","2018-19","Employment Rate","Raw",77.3
"West Lothian","2019-20","Employment Rate","Raw",75.7
"West Dunbartonshire","2008-09","Employment Rate","Raw",69.4
"West Dunbartonshire","2009-10","Employment Rate","Raw",68.4
"West Dunbartonshire","2010-11","Employment Rate","Raw",68
"West Dunbartonshire","2011-12","Employment Rate","Raw",67.7
"West Dunbartonshire","2012-13","Employment Rate","Raw",66.5
"West Dunbartonshire","2013-14","Employment Rate","Raw",65.8
"West Dunbartonshire","2014-15","Employment Rate","Raw",67.6
"West Dunbartonshire","2015-16","Employment Rate","Raw",70
"West Dunbartonshire","2016-17","Employment Rate","Raw",71.9
"West Dunbartonshire","2017-18","Employment Rate","Raw",72.2
"West Dunbartonshire","2018-19","Employment Rate","Raw",72.4
"West Dunbartonshire","2019-20","Employment Rate","Raw",71.9
"Stirling","2008-09","Employment Rate","Raw",73.6
"Stirling","2009-10","Employment Rate","Raw",71.9
"Stirling","2010-11","Employment Rate","Raw",70.5
"Stirling","2011-12","Employment Rate","Raw",69.6
"Stirling","2012-13","Employment Rate","Raw",70.3
"Stirling","2013-14","Employment Rate","Raw",71.9
"Stirling","2014-15","Employment Rate","Raw",72.5
"Stirling","2015-16","Employment Rate","Raw",73.3
"Stirling","2016-17","Employment Rate","Raw",72.6
"Stirling","2017-18","Employment Rate","Raw",73.4
"Stirling","2018-19","Employment Rate","Raw",72.6
"Stirling","2019-20","Employment Rate","Raw",73.4
"South Lanarkshire","2008-09","Employment Rate","Raw",73.7
"South Lanarkshire","2009-10","Employment Rate","Raw",72.2
"South Lanarkshire","2010-11","Employment Rate","Raw",71.6
