"CPP","Year","Indicator","Type","value"
"Aberdeen City",2008,"Median Pay","Raw",429.7
"Aberdeen City",2009,"Median Pay","Raw",442.6
"Aberdeen City",2010,"Median Pay","Raw",448.8
"Aberdeen City",2011,"Median Pay","Raw",460
"Aberdeen City",2012,"Median Pay","Raw",461.5
"Aberdeen City",2013,"Median Pay","Raw",473.3
"Aberdeen City",2014,"Median Pay","Raw",503.9
"Aberdeen City",2015,"Median Pay","Raw",506.2
"Aberdeen City",2016,"Median Pay","Raw",500.9
"Aberdeen City",2017,"Median Pay","Raw",484.4
"Aberdeen City",2018,"Median Pay","Raw",495
"Aberdeen City",2019,"Median Pay","Raw",519.9
"Aberdeen City",2020,"Median Pay","Raw",523.8
"Aberdeen City",2021,"Median Pay","Raw",532.8
"Aberdeenshire",2008,"Median Pay","Raw",363.9
"Aberdeenshire",2009,"Median Pay","Raw",385.6
"Aberdeenshire",2010,"Median Pay","Raw",385.9
"Aberdeenshire",2011,"Median Pay","Raw",363.2
"Aberdeenshire",2012,"Median Pay","Raw",383.4
"Aberdeenshire",2013,"Median Pay","Raw",383.4
"Aberdeenshire",2014,"Median Pay","Raw",389.4
"Aberdeenshire",2015,"Median Pay","Raw",398
"Aberdeenshire",2016,"Median Pay","Raw",382
"Aberdeenshire",2017,"Median Pay","Raw",395.9
"Aberdeenshire",2018,"Median Pay","Raw",438
"Aberdeenshire",2019,"Median Pay","Raw",465.6
"Aberdeenshire",2020,"Median Pay","Raw",456.2
"Aberdeenshire",2021,"Median Pay","Raw",455.6
"Angus",2008,"Median Pay","Raw",331
"Angus",2009,"Median Pay","Raw",345
"Angus",2010,"Median Pay","Raw",335.6
"Angus",2011,"Median Pay","Raw",332.5
"Angus",2012,"Median Pay","Raw",326.2
"Angus",2013,"Median Pay","Raw",344
"Angus",2014,"Median Pay","Raw",358.4
"Angus",2015,"Median Pay","Raw",336.2
"Angus",2016,"Median Pay","Raw",380.4
"Angus",2017,"Median Pay","Raw",374.3
"Angus",2018,"Median Pay","Raw",399.9
"Angus",2019,"Median Pay","Raw",379.7
"Angus",2020,"Median Pay","Raw",398.1
"Angus",2021,"Median Pay","Raw",425
"Argyll and Bute",2008,"Median Pay","Raw",352.1
"Argyll and Bute",2009,"Median Pay","Raw",356.5
"Argyll and Bute",2010,"Median Pay","Raw",349
"Argyll and Bute",2011,"Median Pay","Raw",360.3
"Argyll and Bute",2012,"Median Pay","Raw",355.8
"Argyll and Bute",2013,"Median Pay","Raw",383.8
"Argyll and Bute",2014,"Median Pay","Raw",371.2
"Argyll and Bute",2015,"Median Pay","Raw",467.9
"Argyll and Bute",2016,"Median Pay","Raw",434.9
"Argyll and Bute",2017,"Median Pay","Raw",417.4
"Argyll and Bute",2018,"Median Pay","Raw",402.2
"Argyll and Bute",2019,"Median Pay","Raw",402.7
"Argyll and Bute",2020,"Median Pay","Raw",419.1
"Argyll and Bute",2021,"Median Pay","Raw",437.2
"City of Edinburgh",2008,"Median Pay","Raw",424
"City of Edinburgh",2009,"Median Pay","Raw",431.6
"City of Edinburgh",2010,"Median Pay","Raw",436.2
"City of Edinburgh",2011,"Median Pay","Raw",447.8
"City of Edinburgh",2012,"Median Pay","Raw",448.1
"City of Edinburgh",2013,"Median Pay","Raw",468.6
"City of Edinburgh",2014,"Median Pay","Raw",473.6
"City of Edinburgh",2015,"Median Pay","Raw",480.5
"City of Edinburgh",2016,"Median Pay","Raw",479.6
"City of Edinburgh",2017,"Median Pay","Raw",497.9
"City of Edinburgh",2018,"Median Pay","Raw",495.9
"City of Edinburgh",2019,"Median Pay","Raw",508.2
"City of Edinburgh",2020,"Median Pay","Raw",547.9
"City of Edinburgh",2021,"Median Pay","Raw",546.2
"Clackmannanshire",2008,"Median Pay","Raw",NA
"Clackmannanshire",2009,"Median Pay","Raw",353.2
