"CPP","Year","Indicator","Type","value"
"Aberdeen City",2013,"Out of Work Benefits","Raw",7.91385767790262
"Aberdeen City",2014,"Out of Work Benefits","Raw",7.07759155803849
"Aberdeen City",2015,"Out of Work Benefits","Raw",7.07279457125231
"Aberdeen City",2016,"Out of Work Benefits","Raw",8.16417910447761
"Aberdeen City",2017,"Out of Work Benefits","Raw",8.28238993710692
"Aberdeen City",2018,"Out of Work Benefits","Raw",8.1704834605598
"Aberdeen City",2019,"Out of Work Benefits","Raw",8.20050922978994
"Aberdeen City",2020,"Out of Work Benefits","Raw",11.7466496490108
"Aberdeenshire",2013,"Out of Work Benefits","Raw",5.86630369026013
"Aberdeenshire",2014,"Out of Work Benefits","Raw",5.26369656833233
"Aberdeenshire",2015,"Out of Work Benefits","Raw",5.27584134615385
"Aberdeenshire",2016,"Out of Work Benefits","Raw",6.197583081571
"Aberdeenshire",2017,"Out of Work Benefits","Raw",6.25776965265082
"Aberdeenshire",2018,"Out of Work Benefits","Raw",6.07318573185732
"Aberdeenshire",2019,"Out of Work Benefits","Raw",6.36933581626319
"Aberdeenshire",2020,"Out of Work Benefits","Raw",9.235625
"Angus",2013,"Out of Work Benefits","Raw",9.75418994413408
"Angus",2014,"Out of Work Benefits","Raw",9.08683473389356
"Angus",2015,"Out of Work Benefits","Raw",8.93679775280899
"Angus",2016,"Out of Work Benefits","Raw",9.42492917847026
"Angus",2017,"Out of Work Benefits","Raw",9.7977207977208
"Angus",2018,"Out of Work Benefits","Raw",9.93956834532374
"Angus",2019,"Out of Work Benefits","Raw",10.9105339105339
"Angus",2020,"Out of Work Benefits","Raw",14.632801161103
"Argyll and Bute",2013,"Out of Work Benefits","Raw",10.4794776119403
"Argyll and Bute",2014,"Out of Work Benefits","Raw",9.56603773584906
"Argyll and Bute",2015,"Out of Work Benefits","Raw",9.30210325047801
"Argyll and Bute",2016,"Out of Work Benefits","Raw",9.20458891013384
"Argyll and Bute",2017,"Out of Work Benefits","Raw",9.3011583011583
"Argyll and Bute",2018,"Out of Work Benefits","Raw",9.2729044834308
"Argyll and Bute",2019,"Out of Work Benefits","Raw",10.0157480314961
"Argyll and Bute",2020,"Out of Work Benefits","Raw",15.029702970297
"Clackmannanshire",2013,"Out of Work Benefits","Raw",15.3746223564955
"Clackmannanshire",2014,"Out of Work Benefits","Raw",14.3323170731707
"Clackmannanshire",2015,"Out of Work Benefits","Raw",13.2415902140673
"Clackmannanshire",2016,"Out of Work Benefits","Raw",13.4012345679012
"Clackmannanshire",2017,"Out of Work Benefits","Raw",13.4043209876543
"Clackmannanshire",2018,"Out of Work Benefits","Raw",14.2204968944099
"Clackmannanshire",2019,"Out of Work Benefits","Raw",14.9626168224299
"Clackmannanshire",2020,"Out of Work Benefits","Raw",18.9842767295597
"Dumfries and Galloway",2013,"Out of Work Benefits","Raw",11.8516483516484
"Dumfries and Galloway",2014,"Out of Work Benefits","Raw",10.8481152993348
"Dumfries and Galloway",2015,"Out of Work Benefits","Raw",10.38127090301
"Dumfries and Galloway",2016,"Out of Work Benefits","Raw",10.5258426966292
"Dumfries and Galloway",2017,"Out of Work Benefits","Raw",10.519818799547
"Dumfries and Galloway",2018,"Out of Work Benefits","Raw",10.3954285714286
"Dumfries and Galloway",2019,"Out of Work Benefits","Raw",11.9218390804598
"Dumfries and Galloway",2020,"Out of Work Benefits","Raw",16.1252900232019
"Dundee City",2013,"Out of Work Benefits","Raw",16.5288169868554
"Dundee City",2014,"Out of Work Benefits","Raw",15.5060851926978
"Dundee City",2015,"Out of Work Benefits","Raw",14.6399594320487
"Dundee City",2016,"Out of Work Benefits","Raw",14.6213197969543
