"CPP","Year","Indicator","Type","value"
"Aberdeen City",2013,"Out of Work Benefits","Raw",7.91242534123036
"Aberdeen City",2014,"Out of Work Benefits","Raw",7.07552731357084
"Aberdeen City",2015,"Out of Work Benefits","Raw",7.07397283939953
"Aberdeen City",2016,"Out of Work Benefits","Raw",8.16311302628388
"Aberdeen City",2017,"Out of Work Benefits","Raw",8.28171281593329
"Aberdeen City",2018,"Out of Work Benefits","Raw",8.17074334425395
"Aberdeen City",2019,"Out of Work Benefits","Raw",8.20103125596792
"Aberdeen City",2020,"Out of Work Benefits","Raw",11.7496489212307
"Aberdeen City",2021,"Out of Work Benefits","Raw",12.7232880975692
"Aberdeenshire",2013,"Out of Work Benefits","Raw",5.86719104522765
"Aberdeenshire",2014,"Out of Work Benefits","Raw",5.26461573664276
"Aberdeenshire",2015,"Out of Work Benefits","Raw",5.27606329593192
"Aberdeenshire",2016,"Out of Work Benefits","Raw",6.19578611641337
"Aberdeenshire",2017,"Out of Work Benefits","Raw",6.25754085773829
"Aberdeenshire",2018,"Out of Work Benefits","Raw",6.07176674577897
"Aberdeenshire",2019,"Out of Work Benefits","Raw",6.36850565723897
"Aberdeenshire",2020,"Out of Work Benefits","Raw",9.235625
"Aberdeenshire",2021,"Out of Work Benefits","Raw",9.40465435060282
"Angus",2013,"Out of Work Benefits","Raw",9.76005142753329
"Angus",2014,"Out of Work Benefits","Raw",9.0844173119198
"Angus",2015,"Out of Work Benefits","Raw",8.94056484473795
"Angus",2016,"Out of Work Benefits","Raw",9.42653142177141
"Angus",2017,"Out of Work Benefits","Raw",9.79953552652201
"Angus",2018,"Out of Work Benefits","Raw",9.93971136275342
"Angus",2019,"Out of Work Benefits","Raw",10.9160470656176
"Angus",2020,"Out of Work Benefits","Raw",14.6389626983781
"Angus",2021,"Out of Work Benefits","Raw",14.6543605198719
"Argyll and Bute",2013,"Out of Work Benefits","Raw",10.4785001399123
"Argyll and Bute",2014,"Out of Work Benefits","Raw",9.57344360731887
"Argyll and Bute",2015,"Out of Work Benefits","Raw",9.30672992309752
"Argyll and Bute",2016,"Out of Work Benefits","Raw",9.19825741363497
"Argyll and Bute",2017,"Out of Work Benefits","Raw",9.29936305732484
