"CPP","Year","Indicator","Type","value"
"Aberdeen City","2010/11","Primary 1 Body Mass Index","Raw",85.0883446923416
"Aberdeen City","2011/12","Primary 1 Body Mass Index","Raw",85.1974848431167
"Aberdeen City","2012/13","Primary 1 Body Mass Index","Raw",83.7484615916179
"Aberdeen City","2013/14","Primary 1 Body Mass Index","Raw",84.1375902819072
"Aberdeen City","2014/15","Primary 1 Body Mass Index","Raw",83.2581451012135
"Aberdeen City","2015/16","Primary 1 Body Mass Index","Raw",83.938228298058
"Aberdeen City","2016/17","Primary 1 Body Mass Index","Raw",83.4358179162809
"Aberdeen City","2017/18","Primary 1 Body Mass Index","Raw",84.6255489947646
"Aberdeen City","2018/19","Primary 1 Body Mass Index","Raw",82.2486574795065
"Aberdeenshire","2010/11","Primary 1 Body Mass Index","Raw",86.5008037224037
"Aberdeenshire","2011/12","Primary 1 Body Mass Index","Raw",86.2410269609246
"Aberdeenshire","2012/13","Primary 1 Body Mass Index","Raw",84.9825878930166
"Aberdeenshire","2013/14","Primary 1 Body Mass Index","Raw",84.4375213174759
"Aberdeenshire","2014/15","Primary 1 Body Mass Index","Raw",84.0130618603498
"Aberdeenshire","2015/16","Primary 1 Body Mass Index","Raw",84.4850558368399
"Aberdeenshire","2016/17","Primary 1 Body Mass Index","Raw",84.4832671984499
"Aberdeenshire","2017/18","Primary 1 Body Mass Index","Raw",85.1219751100774
"Angus","2009/10","Primary 1 Body Mass Index","Raw",82.9852039284659
"Angus","2010/11","Primary 1 Body Mass Index","Raw",83.0842410281345
"Angus","2011/12","Primary 1 Body Mass Index","Raw",84.1068584867381
"Angus","2012/13","Primary 1 Body Mass Index","Raw",84.4760481168717
"Angus","2013/14","Primary 1 Body Mass Index","Raw",84.8288045238805
"Angus","2014/15","Primary 1 Body Mass Index","Raw",84.6176287401857
"Angus","2015/16","Primary 1 Body Mass Index","Raw",84.731315352734
"Angus","2016/17","Primary 1 Body Mass Index","Raw",84.4781765726236
"Angus","2017/18","Primary 1 Body Mass Index","Raw",83.1736587828632
"Argyll and Bute","2009/10","Primary 1 Body Mass Index","Raw",81.1288929959925
"Argyll and Bute","2010/11","Primary 1 Body Mass Index","Raw",82.7757663358379
"Argyll and Bute","2011/12","Primary 1 Body Mass Index","Raw",83.1225370337139
"Argyll and Bute","2012/13","Primary 1 Body Mass Index","Raw",82.6877852993726
"Argyll and Bute","2013/14","Primary 1 Body Mass Index","Raw",82.3457813104965
"Argyll and Bute","2014/15","Primary 1 Body Mass Index","Raw",82.6296031874205
