"CPP","Year","child_population"
"Aberdeen City",2002,34167
"Perth and Kinross",2003,24964
"Falkirk",2014,28288
"East Ayrshire",2009,21861
"Perth and Kinross",2009,25206
"Angus",2016,19445
"Renfrewshire",2006,31528
"East Lothian",2014,18807
"Shetland Islands",2016,4233
"Clackmannanshire",2013,9180
"Moray",2006,16776
"Moray",2003,17289
"South Lanarkshire",2006,57476
"Renfrewshire",2016,29954
"Stirling",2002,16461
"Edinburgh, City of",2003,71378
"Fife",2002,67287
"Eilean Siar",2003,4902
"West Dunbartonshire",2011,15994
"South Ayrshire",2009,18705
"Glasgow City",2008,97102
"Aberdeen City",2003,33631
"Scottish Borders",2009,19854
"Falkirk",2008,28224
"Glasgow City",2011,95824
"North Ayrshire",2003,26589
"Renfrewshire",2011,30595
"East Lothian",2016,18989
"East Ayrshire",2003,23035
"Moray",2013,16611
"Scottish Borders",2014,19069
"Aberdeen City",2004,32850
"Perth and Kinross",2007,25200
"North Ayrshire",2006,25556
"South Ayrshire",2007,18919
"Aberdeen City",2010,32382
"South Ayrshire",2014,17833
"East Renfrewshire",2001,19166
"East Lothian",2005,18392
"West Lothian",2014,35073
"Dundee City",2015,23798
"West Lothian",2001,34959
"Fife",2013,64186
"East Lothian",2001,18765
"Aberdeen City",2008,32249
"Fife",2016,64372
"Orkney Islands",2009,3650
"North Lanarkshire",2010,64764
"Argyll and Bute",2006,15530
"Orkney Islands",2013,3526
"Clackmannanshire",2014,9087
"South Lanarkshire",2015,55027
"West Dunbartonshire",2015,15709
"Eilean Siar",2009,4752
"Glasgow City",2003,103121
"Dundee City",2007,23756
"West Dunbartonshire",2014,15698
"Highland",2013,40530
"East Lothian",2004,18412
"Falkirk",2003,27988
"Dundee City",2010,23929
"Eilean Siar",2016,4307
"West Lothian",2007,34938
"Fife",2004,65572
"Angus",2013,19757
"Aberdeen City",2007,32263
"Angus",2007,20659
"Moray",2005,16973
"Perth and Kinross",2015,24619
"Scottish Borders",2016,19002
"Inverclyde",2011,13674
"Orkney Islands",2006,3710
"Dumfries and Galloway",2007,25974
"Midlothian",2016,16884
"Dundee City",2001,25687
"Glasgow City",2005,99723
"West Lothian",2011,35411
"Inverclyde",2012,13402
"Inverclyde",2008,14271
"Highland",2004,40262
"Edinburgh, City of",2004,70427
"Dumfries and Galloway",2002,27246
"Renfrewshire",2001,33517
"East Dunbartonshire",2003,21092
"Moray",2009,16926
"East Lothian",2011,18676
"Stirling",2004,16409
"Inverclyde",2014,13143
"Glasgow City",2002,104742
"West Dunbartonshire",2003,17772
"Aberdeenshire",2001,47572
"Inverclyde",2009,14053
"Dumfries and Galloway",2004,26398
"Moray",2014,16591
"South Lanarkshire",2013,55046
"Argyll and Bute",2001,17052
"East Ayrshire",2006,22279
"Dumfries and Galloway",2003,26774
"Orkney Islands",2011,3597
"Aberdeen City",2014,33511
"East Renfrewshire",2009,17904
"Midlothian",2002,16620
"Perth and Kinross",2012,24967
"Eilean Siar",2007,4765
"Shetland Islands",2013,4357
"Orkney Islands",2012,3572
"Glasgow City",2001,106342
"Perth and Kinross",2001,25556
"West Dunbartonshire",2013,15782
"Falkirk",2005,28140
"Aberdeenshire",2014,48669
"Dumfries and Galloway",2006,26106
"West Lothian",2008,35160
"Aberdeenshire",2013,48112
"Angus",2001,20377
"Aberdeenshire",2005,46856
"South Lanarkshire",2007,57281
"Argyll and Bute",2013,13814
"Falkirk",2007,28080
"Dumfries and Galloway",2014,23927
"East Ayrshire",2001,23907
"Aberdeenshire",2008,47151
"Stirling",2009,16002
"Stirling",2015,15510
"Falkirk",2011,28398
"Inverclyde",2003,15598
"Dumfries and Galloway",2010,25304
"Moray",2016,16527
"Argyll and Bute",2004,16149
"Dumfries and Galloway",2008,25839
"Dundee City",2016,23849
"Aberdeenshire",2016,48871
"Edinburgh, City of",2011,72499
"North Lanarkshire",2002,65198
"West Lothian",2012,35225
"South Lanarkshire",2012,55422
"East Renfrewshire",2008,18027
"East Renfrewshire",2005,18511
"Midlothian",2007,15376
"Aberdeen City",2001,34690
"Perth and Kinross",2005,24982
"Scottish Borders",2004,20065
"East Dunbartonshire",2001,21966
"East Renfrewshire",2003,18770
"Falkirk",2010,28452
"Scottish Borders",2003,20097
"Orkney Islands",2002,3818
"South Ayrshire",2002,19869
"South Ayrshire",2016,17760
"Moray",2001,17488
"West Dunbartonshire",2007,16601
"Clackmannanshire",2002,9825
"Perth and Kinross",2016,24514
"Midlothian",2001,16993
"Shetland Islands",2010,4485
"Edinburgh, City of",2008,69284
"Dundee City",2012,23720
"Glasgow City",2007,97649
"South Lanarkshire",2008,56821
"Scottish Borders",2010,19640
"Orkney Islands",2007,3673
"East Renfrewshire",2006,18324
"Renfrewshire",2009,30809
"Clackmannanshire",2006,9382
"East Ayrshire",2008,21980
"Eilean Siar",2010,4675
"East Renfrewshire",2012,17867
"Dundee City",2005,24322
"West Lothian",2010,35272
"East Lothian",2007,18618
"Orkney Islands",2008,3657
"West Lothian",2016,35307
"Argyll and Bute",2010,14515
"Falkirk",2006,28113
"Renfrewshire",2002,32989
"Highland",2009,41317
"Moray",2011,16919
"Edinburgh, City of",2016,77364
"Highland",2016,39972
"Midlothian",2011,15653
"East Lothian",2009,18622
"Dumfries and Galloway",2009,25664
"West Dunbartonshire",2010,16158
"Fife",2009,64607
"Aberdeenshire",2007,47072
"Dundee City",2013,23753
"Inverclyde",2004,15263
"Moray",2012,16674
"Edinburgh, City of",2006,69422
"West Lothian",2004,34532
"North Lanarkshire",2005,64624
"Shetland Islands",2006,4512
"Eilean Siar",2012,4569
"South Lanarkshire",2016,54876
"Clackmannanshire",2008,9657
"Dumfries and Galloway",2005,26341
"Glasgow City",2014,96709
"Clackmannanshire",2005,9507
"Highland",2006,40610
"Clackmannanshire",2004,9478
"East Lothian",2006,18501
"East Dunbartonshire",2002,21467
"East Renfrewshire",2004,18663
"Renfrewshire",2008,31205
"Highland",2001,40889
"East Lothian",2012,18773
"Clackmannanshire",2015,9029
"Dumfries and Galloway",2001,27750
"South Ayrshire",2001,20255
"Midlothian",2013,16061
