"CPP","Year","Indicator","Type","value"
"Aberdeen City","2011-12","Wellbeing","Raw",7.4225
"Aberdeen City","2012-13","Wellbeing","Raw",7.4875
"Aberdeen City","2013-14","Wellbeing","Raw",7.4775
"Aberdeen City","2014-15","Wellbeing","Raw",7.4475
"Aberdeen City","2015-16","Wellbeing","Raw",7.525
"Aberdeen City","2016-17","Wellbeing","Raw",7.3925
"Aberdeen City","2017-18","Wellbeing","Raw",7.46
"Aberdeen City","2018-19","Wellbeing","Raw",7.4725
"Aberdeen City","2019-20","Wellbeing","Raw",7.3575
"Aberdeen City","2020-21","Wellbeing","Raw",7.1525
"Aberdeenshire","2011-12","Wellbeing","Raw",7.7075
"Aberdeenshire","2012-13","Wellbeing","Raw",7.54
"Aberdeenshire","2013-14","Wellbeing","Raw",7.795
"Aberdeenshire","2014-15","Wellbeing","Raw",7.78
"Aberdeenshire","2015-16","Wellbeing","Raw",7.7125
"Aberdeenshire","2016-17","Wellbeing","Raw",7.6425
"Aberdeenshire","2017-18","Wellbeing","Raw",7.73
"Aberdeenshire","2018-19","Wellbeing","Raw",7.7725
"Aberdeenshire","2019-20","Wellbeing","Raw",7.5925
"Aberdeenshire","2020-21","Wellbeing","Raw",7.3525
"Angus","2011-12","Wellbeing","Raw",7.51
"Angus","2012-13","Wellbeing","Raw",7.5075
"Angus","2013-14","Wellbeing","Raw",7.4625
"Angus","2014-15","Wellbeing","Raw",7.67
"Angus","2015-16","Wellbeing","Raw",7.595
"Angus","2016-17","Wellbeing","Raw",7.5825
"Angus","2017-18","Wellbeing","Raw",7.785
"Angus","2018-19","Wellbeing","Raw",7.53
"Angus","2019-20","Wellbeing","Raw",7.57
"Angus","2020-21","Wellbeing","Raw",7.2275
"Argyll and Bute","2011-12","Wellbeing","Raw",7.605
"Argyll and Bute","2012-13","Wellbeing","Raw",7.585
"Argyll and Bute","2013-14","Wellbeing","Raw",7.52
"Argyll and Bute","2014-15","Wellbeing","Raw",7.7575
"Argyll and Bute","2015-16","Wellbeing","Raw",7.745
"Argyll and Bute","2016-17","Wellbeing","Raw",7.8
"Argyll and Bute","2017-18","Wellbeing","Raw",7.7125
"Argyll and Bute","2018-19","Wellbeing","Raw",7.71
"Argyll and Bute","2019-20","Wellbeing","Raw",7.8175
"Argyll and Bute","2020-21","Wellbeing","Raw",7.5575
"City of Edinburgh","2011-12","Wellbeing","Raw",7.28
"City of Edinburgh","2012-13","Wellbeing","Raw",7.37
"City of Edinburgh","2013-14","Wellbeing","Raw",7.3675
"City of Edinburgh","2014-15","Wellbeing","Raw",7.475
"City of Edinburgh","2015-16","Wellbeing","Raw",7.3875
"City of Edinburgh","2016-17","Wellbeing","Raw",7.29
"City of Edinburgh","2017-18","Wellbeing","Raw",7.42
"City of Edinburgh","2018-19","Wellbeing","Raw",7.5225
"City of Edinburgh","2019-20","Wellbeing","Raw",7.28
"City of Edinburgh","2020-21","Wellbeing","Raw",7.195
"Clackmannanshire","2011-12","Wellbeing","Raw",7.195
"Clackmannanshire","2012-13","Wellbeing","Raw",7.6625
"Clackmannanshire","2013-14","Wellbeing","Raw",7.4875
"Clackmannanshire","2014-15","Wellbeing","Raw",7.46
"Clackmannanshire","2015-16","Wellbeing","Raw",7.5025
"Clackmannanshire","2016-17","Wellbeing","Raw",7.46
"Clackmannanshire","2017-18","Wellbeing","Raw",7.5025
"Clackmannanshire","2018-19","Wellbeing","Raw",7.635
"Clackmannanshire","2019-20","Wellbeing","Raw",7.57
"Clackmannanshire","2020-21","Wellbeing","Raw",7.3275
