"Year","CPP","working_age_pop"
2011,"Aberdeen City",158000
2011,"Aberdeenshire",165000
2011,"Angus",72800
2011,"Argyll and Bute",55100
2011,"Clackmannanshire",33900
2011,"Dumfries and Galloway",93000
2011,"Dundee City",98800
2011,"East Ayrshire",79700
2011,"East Dunbartonshire",65800
2011,"East Lothian",63300
2011,"East Renfrewshire",56500
2011,"Edinburgh, City of",336600
2011,"Eilean Siar",17000
2011,"Falkirk",102400
2011,"Fife",236200
2011,"Glasgow City",415000
2011,"Highland",148000
2011,"Inverclyde",52700
2011,"Midlothian",53700
2011,"Moray",59200
2011,"North Ayrshire",87600
2011,"North Lanarkshire",222200
2011,"Orkney Islands",13600
2011,"Perth and Kinross",91900
2011,"Renfrewshire",114500
2011,"Scottish Borders",70600
2011,"Shetland Islands",15000
2011,"South Ayrshire",70100
2011,"South Lanarkshire",205200
2011,"Stirling",58700
2011,"West Dunbartonshire",59600
2011,"West Lothian",115700
2012,"Aberdeen City",158900
2012,"Aberdeenshire",164900
2012,"Angus",72000
2012,"Argyll and Bute",52700
2012,"Clackmannanshire",33400
2012,"Dumfries and Galloway",91900
2012,"Dundee City",98900
2012,"East Ayrshire",78900
2012,"East Dunbartonshire",65900
2012,"East Lothian",63500
2012,"East Renfrewshire",56300
2012,"Edinburgh, City of",338300
2012,"Eilean Siar",16800
2012,"Falkirk",101900
2012,"Fife",234700
2012,"Glasgow City",415900
2012,"Highland",146900
2012,"Inverclyde",52100
2012,"Midlothian",53600
2012,"Moray",58300
2012,"North Ayrshire",86300
2012,"North Lanarkshire",221100
2012,"Orkney Islands",13500
2012,"Perth and Kinross",91800
2012,"Renfrewshire",113300
2012,"Scottish Borders",69600
2012,"Shetland Islands",14800
2012,"South Ayrshire",69400
2012,"South Lanarkshire",203900
2012,"Stirling",58800
2012,"West Dunbartonshire",59200
2012,"West Lothian",115600
2013,"Aberdeen City",160200
2013,"Aberdeenshire",165300
2013,"Angus",71600
2013,"Argyll and Bute",53600
2013,"Clackmannanshire",33100
2013,"Dumfries and Galloway",91000
2013,"Dundee City",98900
2013,"East Ayrshire",78300
2013,"East Dunbartonshire",65500
2013,"East Lothian",63600
2013,"East Renfrewshire",56300
2013,"Edinburgh, City of",340800
2013,"Eilean Siar",16700
2013,"Falkirk",101700
2013,"Fife",233700
2013,"Glasgow City",416900
2013,"Highland",145900
2013,"Inverclyde",51700
2013,"Midlothian",53500
2013,"Moray",59300
2013,"North Ayrshire",85400
2013,"North Lanarkshire",220300
2013,"Orkney Islands",13500
2013,"Perth and Kinross",91400
2013,"Renfrewshire",112700
2013,"Scottish Borders",69100
2013,"Shetland Islands",14700
2013,"South Ayrshire",69000
2013,"South Lanarkshire",203400
2013,"Stirling",59000
2013,"West Dunbartonshire",58500
2013,"West Lothian",114900
2014,"Aberdeen City",161100
2014,"Aberdeenshire",166100
2014,"Angus",71400
2014,"Argyll and Bute",53000
2014,"Clackmannanshire",32800
2014,"Dumfries and Galloway",90200
2014,"Dundee City",98600
2014,"East Ayrshire",77800
2014,"East Dunbartonshire",65700
2014,"East Lothian",63800
2014,"East Renfrewshire",56500
2014,"Edinburgh, City of",343500
2014,"Eilean Siar",16400
2014,"Falkirk",101500
2014,"Fife",232100
2014,"Glasgow City",419400
2014,"Highland",144900
2014,"Inverclyde",51100
2014,"Midlothian",54300
2014,"Moray",59200
2014,"North Ayrshire",84600
