"","DataZone","DataZoneName","IntZone","IntZoneName","CA","CPP","FG"
"1","S01006506","Culter - 01","S02001236","Culter","S12000033","Aberdeen City",1
"2","S01006507","Culter - 02","S02001236","Culter","S12000033","Aberdeen City",1
"3","S01006508","Culter - 03","S02001236","Culter","S12000033","Aberdeen City",1
"4","S01006509","Culter - 04","S02001236","Culter","S12000033","Aberdeen City",1
"5","S01006510","Culter - 05","S02001236","Culter","S12000033","Aberdeen City",1
"6","S01006511","Culter - 06","S02001236","Culter","S12000033","Aberdeen City",1
"7","S01006512","Culter - 07","S02001236","Culter","S12000033","Aberdeen City",1
"8","S01006513","Cults, Bieldside and Milltimber West - 01","S02001237","Cults, Bieldside and Milltimber West","S12000033","Aberdeen City",1
"9","S01006514","Cults, Bieldside and Milltimber West - 02","S02001237","Cults, Bieldside and Milltimber West","S12000033","Aberdeen City",1
"10","S01006515","Cults, Bieldside and Milltimber West - 03","S02001237","Cults, Bieldside and Milltimber West","S12000033","Aberdeen City",1
"11","S01006516","Cults, Bieldside and Milltimber West - 04","S02001237","Cults, Bieldside and Milltimber West","S12000033","Aberdeen City",1
"12","S01006517","Cults, Bieldside and Milltimber West - 05","S02001237","Cults, Bieldside and Milltimber West","S12000033","Aberdeen City",1
"13","S01006518","Cults, Bieldside and Milltimber East - 01","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"14","S01006519","Cults, Bieldside and Milltimber East - 02","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"15","S01006520","Cults, Bieldside and Milltimber East - 03","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"16","S01006521","Cults, Bieldside and Milltimber East - 04","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"17","S01006522","Cults, Bieldside and Milltimber East - 05","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"18","S01006523","Cults, Bieldside and Milltimber East - 06","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"19","S01006524","Cults, Bieldside and Milltimber East - 07","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"20","S01006525","Cults, Bieldside and Milltimber East - 08","S02001238","Cults, Bieldside and Milltimber East","S12000033","Aberdeen City",1
"21","S01006526","Garthdee - 01","S02001239","Garthdee","S12000033","Aberdeen City",1
"22","S01006527","Garthdee - 02","S02001239","Garthdee","S12000033","Aberdeen City",1
"23","S01006528","Garthdee - 03","S02001239","Garthdee","S12000033","Aberdeen City",1
"24","S01006529","Garthdee - 04","S02001239","Garthdee","S12000033","Aberdeen City",1
"25","S01006530","Garthdee - 05","S02001239","Garthdee","S12000033","Aberdeen City",1
"26","S01006531","Garthdee - 06","S02001239","Garthdee","S12000033","Aberdeen City",1
"27","S01006532","Braeside, Mannofield, Broomhill and Seafield East - 01","S02001240","Braeside, Mannofield, Broomhill and Seafield East","S12000033","Aberdeen City",1
